kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
7.475256,-9.874442688742683,7.475256,4.407183804833937e-11,7.475256,-7.590483274176366e-05,7.475256,31879.91232363642,7.475256,-7.681450986417686e-14,7.475256,-0.4132505631291071,7.475256,1.005993838546997e-10
7.802142,-9.874442688670408,7.802142,4.407183804754708e-11,7.802142,-7.922408219061195e-05,7.802142,30544.24041090806,7.802142,-7.681450986231218e-14,7.802142,-0.4132505631263954,7.802142,1.005993838532066e-10
8.143323000000001,-9.874442688601084,8.143323000000001,4.407183804678716e-11,8.143323000000001,-8.268847940543811e-05,8.143323000000001,29264.52911189551,8.143323000000001,-7.681450986053103e-14,8.143323000000001,-0.4132505631237954,8.143323000000001,1.005993838517743e-10
8.499423,-9.874442688534817,8.499423,4.407183804606065e-11,8.499423,-8.63043715663133e-05,8.499423,28038.43384612401,8.499423,-7.681450985886113e-14,8.499423,-0.4132505631213079,8.499423,1.005993838504052e-10
8.871095,-9.874442688471188,8.871095,4.40718380453632e-11,8.871095,-9.007838340974327e-05,8.871095,26863.70826394754,8.871095,-7.681450985724269e-14,8.871095,-0.4132505631189215,8.871095,1.005993838490907e-10
9.25902,-9.874442688410355,9.25902,4.407183804469629e-11,9.25902,-9.401742936593712e-05,9.25902,25738.20013097959,9.25902,-7.681450985565953e-14,9.25902,-0.413250563116638,9.25902,1.005993838478339e-10
9.663909,-9.87444268835196,9.663909,4.407183804405625e-11,9.663909,-9.812872622687277e-05,9.663909,24659.84738494317,9.663909,-7.681450985417052e-14,9.663909,-0.4132505631144477,9.663909,1.005993838466277e-10
10.0865,-9.874442688296101,10.0865,4.40718380434438e-11,10.0865,-0.0001024198063682822,10.0865,23626.67435773649,10.0865,-7.681450985275505e-14,10.0865,-0.4132505631123509,10.0865,1.005993838454735e-10
10.52758,-9.874442688242537,10.52758,4.407183804285664e-11,10.52758,-0.0001068985315498585,10.52758,22636.78815577518,10.52758,-7.681450985135856e-14,10.52758,-0.4132505631103414,10.52758,1.005993838443669e-10
10.98794,-9.874442688191211,10.98794,4.407183804229403e-11,10.98794,-0.0001115731073189085,10.98794,21688.37519199197,10.98794,-7.681450985006562e-14,10.98794,-0.4132505631084158,10.98794,1.005993838433066e-10
11.46843,-9.87444268814197,11.46843,4.407183804175419e-11,11.46843,-0.0001164520980438779,11.46843,20779.69786313267,11.46843,-7.681450984879787e-14,11.46843,-0.4132505631065692,11.46843,1.005993838422891e-10
11.96993,-9.874442688094915,11.96993,4.40718380412384e-11,11.96993,-0.0001215444426052647,11.96993,19909.09136626549,11.96993,-7.681450984762053e-14,11.96993,-0.4132505631048031,11.96993,1.005993838413171e-10
12.49337,-9.874442688049806,12.49337,4.407183804074386e-11,12.49337,-0.0001268594707727073,12.49337,19074.96064866564,12.49337,-7.681450984644623e-14,12.49337,-0.41325056310311,12.49337,1.005993838403851e-10
13.03969,-9.874442688006548,13.03969,4.407183804026965e-11,13.03969,-0.0001324069202982005,13.03969,18275.77748549394,13.03969,-7.681450984535312e-14,13.03969,-0.4132505631014872,13.03969,1.005993838394914e-10
13.60991,-9.874442687965105,13.60991,4.407183803981537e-11,13.60991,-0.0001381969547567937,13.60991,17510.07767991059,13.60991,-7.681450984430233e-14,13.60991,-0.4132505630999325,13.60991,1.005993838386353e-10
