kgmp X,kgmp Y,rds X,rds Y,kcgd X,kcgd Y,ids X,ids Y,kgds X,kgds Y,kcgs X,kcgs Y,kcds X,kcds Y
57.22368,-17.80525145884046,57.22368,69531.15151847388,57.22368,4.398633127859421e-10,57.22368,-5.035579234674233e-05,57.22368,-0.2856085103989309,57.22368,7.227893890458608e-10,57.22368,-4.236756920549018e-13
59.94843,-17.80525145882158,59.94843,66370.85337163818,59.94843,4.398633127839036e-10,59.94843,-5.275352130688734e-05,59.94843,-0.2856085103986974,59.94843,7.227893890435573e-10,59.94843,-4.236756920536785e-13
62.80291,-17.80525145880351,62.80291,63354.19565300556,62.80291,4.398633127819522e-10,62.80291,-5.526541993645594e-05,62.80291,-0.2856085103984745,62.80291,7.22789389041352e-10,62.80291,-4.236756920525788e-13
65.79331999999999,-17.80525145878629,65.79331999999999,60474.64968342774,65.79331999999999,4.398633127800927e-10,65.79331999999999,-5.789692451020238e-05,65.79331999999999,-0.2856085103982618,65.79331999999999,7.227893890392507e-10,65.79331999999999,-4.236756920515057e-13
68.92612,-17.80525145876978,68.92612,57725.98352229737,68.92612,4.398633127783098e-10,68.92612,-6.065373015519822e-05,68.92612,-0.2856085103980585,68.92612,7.227893890372359e-10,68.92612,-4.23675692050248e-13
72.20809,-17.80525145875405,72.20809,55102.24848032855,72.20809,4.398633127766125e-10,72.20809,-6.354180317627476e-05,72.20809,-0.2856085103978645,72.20809,7.227893890353177e-10,72.20809,-4.236756920493865e-13
75.64633000000001,-17.80525145873904,75.64633000000001,52597.76624534233,75.64633000000001,4.398633127749905e-10,75.64633000000001,-6.65673939683616e-05,75.64633000000001,-0.2856085103976791,75.64633000000001,7.227893890334843e-10,75.64633000000001,-4.236756920483501e-13
79.24829,-17.80525145872475,79.24829,50207.11659321342,79.24829,4.398633127734489e-10,79.24829,-6.973705054364608e-05,79.24829,-0.2856085103975027,79.24829,7.227893890317427e-10,79.24829,-4.236756920475638e-13
83.02176,-17.80525145871111,83.02176,47925.12565736677,83.02176,4.398633127719761e-10,83.02176,-7.305763270284766e-05,83.02176,-0.2856085103973343,83.02176,7.227893890300784e-10,83.02176,-4.236756920465793e-13
86.97490000000001,-17.80525145869812,86.97490000000001,45746.85473144953,86.97490000000001,4.398633127705735e-10,86.97490000000001,-7.653632688125904e-05,86.97490000000001,-0.2856085103971734,86.97490000000001,7.227893890284937e-10,86.97490000000001,-4.236756920458216e-13
91.11628,-17.80525145868559,91.11628,43667.58958093281,91.11628,4.398633127692211e-10,91.11628,-8.018066170170297e-05,91.11628,-0.2856085103970193,91.11628,7.227893890269646e-10,91.11628,-4.236756920450533e-13
95.45484999999999,-17.80525145867387,95.45484999999999,41682.83024052786,95.45484999999999,4.398633127679546e-10,95.45484999999999,-8.399852426803518e-05,95.45484999999999,-0.2856085103968735,95.45484999999999,7.227893890255341e-10,95.45484999999999,-4.236756920442342e-13
100,-17.80525145866253,100,39788.28127530622,100,4.398633127667305e-10,100,-8.799817723451387e-05,100,-0.2856085103967335,100,7.227893890241507e-10,100,-4.236756920433793e-13
104.7616,-17.80525145865158,104.7616,37979.84248449037,104.7616,4.398633127655493e-10,104.7616,-9.218827668789145e-05,104.7616,-0.2856085103965992,104.7616,7.227893890228155e-10,104.7616,-4.2367569204282e-13
109.7499,-17.80525145864121,109.7499,36253.60002775735,109.7499,4.398633127644285e-10,109.7499,-9.657789088100363e-05,109.7499,-0.2856085103964714,109.7499,7.227893890215489e-10,109.7499,-4.236756920420403e-13
114.9757,-17.80525145863135,114.9757,34605.81795486547,114.9757,4.398633127633639e-10,114.9757,-0.000101176519858376,114.9757,-0.2856085103963496,114.9757,7.227893890203457e-10,114.9757,-4.236756920415509e-13
120.4504,-17.80525145862202,120.4504,33032.93012027794,120.4504,4.398633127623577e-10,120.4504,-0.0001059941160163043,120.4504,-0.2856085103962338,120.4504,7.22789389019209e-10,120.4504,-4.236756920408509e-13
126.1857,-17.80525145861305,126.1857,31531.53246527495,126.1857,4.398633127613882e-10,126.1857,-0.0001110411056419309,126.1857,-0.285608510396123,126.1857,7.227893890181139e-10,126.1857,-4.236756920404265e-13
132.1941,-17.80525145860454,132.1941,30098.37565086167,132.1941,4.398633127604698e-10,132.1941,-0.0001163284114779007,132.1941,-0.2856085103960176,132.1941,7.227893890170762e-10,132.1941,-4.236756920396581e-13
138.4886,-17.80525145859633,138.4886,28730.35802551249,138.4886,4.398633127595823e-10,138.4886,-0.0001218674763614836,138.4886,-0.2856085103959163,138.4886,7.227893890160729e-10,138.4886,-4.236756920391033e-13
145.0829,-17.8052514585884,145.0829,27424.51891255304,145.0829,4.398633127587263e-10,145.0829,-0.0001276702879892506,145.0829,-0.2856085103958192,145.0829,7.227893890151051e-10,145.0829,-4.236756920385445e-13
151.9911,-17.8052514585809,151.9911,26178.03220263288,151.9911,4.398633127579176e-10,151.9911,-0.0001337494048609689,151.9911,-0.2856085103957269,151.9911,7.22789389014191e-10,151.9911,-4.236756920382416e-13
159.2283,-17.8052514585739,159.2283,24988.20023743347,159.2283,4.398633127571604e-10,159.2283,-0.0001401179834588244,159.2283,-0.2856085103956397,159.2283,7.227893890133361e-10,159.2283,-4.236756920378359e-13
166.8101,-17.80525145856709,166.8101,23852.4479713677,166.8101,4.39863312756426e-10,166.8101,-0.0001467898067208219,166.8101,-0.2856085103955557,166.8101,7.227893890125059e-10,166.8101,-4.23675692037201e-13
174.7528,-17.80525145856053,174.7528,22768.31739864685,174.7528,4.398633127557178e-10,174.7528,-0.0001537793138699217,174.7528,-0.2856085103954751,174.7528,7.227893890117053e-10,174.7528,-4.236756920369069e-13
183.0738,-17.80525145855437,183.0738,21733.46223363944,183.0738,4.398633127550532e-10,183.0738,-0.0001611016316635496,183.0738,-0.2856085103953989,183.0738,7.227893890109542e-10,183.0738,-4.236756920364388e-13
191.791,-17.80525145854846,191.791,20745.64283301514,191.791,4.398633127544142e-10,191.791,-0.0001687726071310883,191.791,-0.2856085103953259,191.791,7.227893890102326e-10,191.791,-4.236756920360378e-13
200.9233,-17.80525145854287,200.9233,19802.72134869097,200.9233,4.398633127538116e-10,200.9233,-0.0001768088418701422,200.9233,-0.2856085103952566,200.9233,7.227893890095517e-10,200.9233,-4.236756920358173e-13
210.4904,-17.80525145853753,210.4904,18902.65710107788,210.4904,4.398633127532333e-10,210.4904,-0.0001852277279758914,210.4904,-0.2856085103951902,210.4904,7.227893890088984e-10,210.4904,-4.236756920352671e-13
220.5131,-17.80525145853235,220.5131,18043.50216262371,220.5131,4.398633127526747e-10,220.5131,-0.00019404748568122,220.5131,-0.2856085103951265,220.5131,7.227893890082672e-10,220.5131,-4.236756920349521e-13
231.013,-17.80525145852735,231.013,17223.39714209034,231.013,4.398633127521354e-10,231.013,-0.0002032872027891122,231.013,-0.2856085103950655,231.013,7.227893890076571e-10,231.013,-4.236756920346272e-13
242.0128,-17.8052514585227,242.0128,16440.5671604415,242.0128,4.398633127516338e-10,242.0128,-0.0002129668759826542,242.0128,-0.2856085103950079,242.0128,7.227893890070907e-10,242.0128,-4.236756920344381e-13
253.5364,-17.80525145851823,253.5364,15693.31800963112,253.5364,4.398633127511504e-10,253.5364,-0.0002231074541020671,253.5364,-0.2856085103949526,253.5364,7.227893890065442e-10,253.5364,-4.236756920341477e-13
265.6088,-17.80525145851388,265.6088,14980.0324859842,265.6088,4.398633127506811e-10,265.6088,-0.000233730883482362,265.6088,-0.2856085103948994,265.6088,7.227893890060133e-10,265.6088,-4.236756920338391e-13
278.2559,-17.8052514585099,278.2559,14299.16689022941,278.2559,4.398633127502509e-10,278.2559,-0.0002448601554497982,278.2559,-0.2856085103948497,278.2559,7.227893890055278e-10,278.2559,-4.236756920336053e-13
291.5053,-17.80525145850604,291.5053,13649.24768660836,291.5053,4.398633127498342e-10,291.5053,-0.0002565193560799679,291.5053,-0.2856085103948018,291.5053,7.227893890050568e-10,291.5053,-4.236756920333529e-13
305.3856,-17.80525145850232,305.3856,13028.86831383777,305.3856,4.398633127494323e-10,305.3856,-0.0002687337183250717,305.3856,-0.2856085103947558,305.3856,7.227893890046025e-10,305.3856,-4.236756920330863e-13
319.9267,-17.80525145849868,319.9267,12436.68614101537,319.9267,4.398633127490403e-10,319.9267,-0.0002815296766233272,319.9267,-0.2856085103947117,319.9267,7.227893890041592e-10,319.9267,-4.236756920328215e-13
335.1603,-17.80525145849541,335.1603,11871.41956188639,335.1603,4.39863312748687e-10,335.1603,-0.0002949349241086054,335.1603,-0.2856085103946705,335.1603,7.227893890037607e-10,335.1603,-4.236756920326945e-13
