rds X,rds Y,kcgd X,kcgd Y,kgds X,kgds Y,kgmp X,kgmp Y,kcds X,kcds Y,ids X,ids Y,kcgs X,kcgs Y
8.111307999999999,21424.84881992059,8.111307999999999,2.870311867841098e-11,8.111307999999999,-0.368861092743314,8.111307999999999,-7.596715748247028,8.111307999999999,-4.951562464921064e-14,8.111307999999999,-0.0001265375394909204,8.111307999999999,6.69786047146983e-11
8.497534,20451.05637512575,8.497534,2.870311867800725e-11,8.497534,-0.3688610927411374,8.497534,-7.596715748196377,8.497534,-4.951562464815826e-14,8.497534,-0.0001325627196916389,8.497534,6.697860471391767e-11
8.902151,19521.52429985014,8.902151,2.870311867762117e-11,8.902151,-0.3688610927390581,8.902151,-7.596715748147947,8.902151,-4.951562464718502e-14,8.902151,-0.0001388747933833114,8.902151,6.69786047131711e-11
9.326033000000001,18634.24089199007,9.326033000000001,2.870311867725327e-11,9.326033000000001,-0.3688610927370748,9.326033000000001,-7.596715748101795,9.326033000000001,-4.95156246462375e-14,9.326033000000001,-0.0001454874212154734,9.326033000000001,6.697860471245975e-11
9.770099999999999,17787.28588440593,9.770099999999999,2.870311867690178e-11,9.770099999999999,-0.368861092735181,9.770099999999999,-7.5967157480577,9.770099999999999,-4.951562464533902e-14,9.770099999999999,-0.0001524149142997834,9.770099999999999,6.697860471178011e-11
10.23531,16978.82628906406,10.23531,2.870311867656607e-11,10.23531,-0.3688610927333727,10.23531,-7.596715748015584,10.23531,-4.951562464445757e-14,10.23531,-0.0001596722651822485,10.23531,6.697860471113093e-11
10.72267,16207.11243006564,10.72267,2.870311867624559e-11,10.72267,-0.3688610927316466,10.72267,-7.596715747975379,10.72267,-4.951562464363438e-14,10.72267,-0.0001672751802902422,10.72267,6.69786047105112e-11
11.23324,15470.47415698237,11.23324,2.870311867593997e-11,11.23324,-0.3688610927299994,11.23324,-7.596715747937037,11.23324,-4.95156246428565e-14,11.23324,-0.0001752401139244959,11.23324,6.697860470992024e-11
11.76812,14767.31723029983,11.76812,2.87031186756484e-11,11.76812,-0.3688610927284279,11.76812,-7.596715747900463,11.76812,-4.951562464210149e-14,11.76812,-0.0001835843038696655,11.76812,6.69786047093565e-11
12.32847,14096.11987115071,12.32847,2.870311867536999e-11,12.32847,-0.3688610927269273,12.32847,-7.596715747865537,12.32847,-4.951562464139258e-14,12.32847,-0.0001923258087004923,12.32847,6.697860470881814e-11
12.9155,13455.42946786515,12.9155,2.870311867510373e-11,12.9155,-0.3688610927254937,12.9155,-7.596715747832132,12.9155,-4.951562464069966e-14,12.9155,-0.0002014835468643584,12.9155,6.697860470830324e-11
13.53048,12843.85943221667,13.53048,2.870311867485028e-11,13.53048,-0.368861092724127,13.53048,-7.59671574780034,13.53048,-4.95156246400522e-14,13.53048,-0.0002110773376247416,13.53048,6.697860470781323e-11
