kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
4.507997e-06,-2.985207110814959e-10,4.507997e-06,0.0007157280398596,4.507997e-06,-1.670431681900192e-10,4.507997e-06,45896.31666275951,4.507997e-06,19.70080063865113,4.507997e-06,3.632989607820346e-05,4.507997e-06,0.599733089485281
4.982283e-06,-2.756105599786612e-10,4.982283e-06,0.0007754593616912864,4.982283e-06,-1.518343234954517e-10,4.982283e-06,42057.43500204544,4.982283e-06,19.37413007308337,4.982283e-06,4.002550611387905e-05,4.982283e-06,0.594046423329471
5.506468e-06,-2.544299172671421e-10,5.506468e-06,0.0008394562076531155,5.506468e-06,-1.380003669463977e-10,5.506468e-06,38554.31334692532,5.506468e-06,19.03517348207716,5.506468e-06,4.410026567099677e-05,5.506468e-06,0.5881469124638418
6.085803e-06,-2.348472390031221e-10,6.085803e-06,0.0009078997050666097,6.085803e-06,-1.254204401854155e-10,6.085803e-06,35357.45354480282,6.085803e-06,18.68398910525451,6.085803e-06,4.859239105482461e-05,6.085803e-06,0.5820372108944756
6.726089e-06,-2.167398703359106e-10,6.726089e-06,0.0009809693037602532,6.726089e-06,-1.139827812681347e-10,6.726089e-06,32439.55696132715,6.726089e-06,18.32072485955845,6.726089e-06,5.354424081361899e-05,6.726089e-06,0.5757213306687935
7.43374e-06,-1.999942382529322e-10,7.43374e-06,0.00105884076044321,7.43374e-06,-1.035847009124463e-10,7.43374e-06,29775.53059861609,7.43374e-06,17.94563077029764,7.43374e-06,5.900270511503725e-05,7.43374e-06,0.5692048178039439
8.215842999999999e-06,-1.845056528034794e-10,8.215842999999999e-06,0.001141684147831669,8.215842999999999e-06,-9.413225715906831e-11,8.215842999999999e-06,27342.41767967193,8.215842999999999e-06,17.55906773482783,8.215842999999999e-06,6.501963344939872e-05,8.215842999999999e-06,0.5624948750960569
9.08023e-06,-1.699997065904257e-10,9.08023e-06,0.001230834540006726,9.08023e-06,-8.543386880601093e-11,9.08023e-06,25091.81083607396,9.08023e-06,17.15629911322069,9.08023e-06,7.174242719155214e-05,9.08023e-06,0.5555100617469647
1.003556e-05,-1.56828579552677e-10,1.003556e-05,0.001323634882848131,1.003556e-05,-7.767429848531595e-11,1.003556e-05,23072.76142773615,1.003556e-05,16.75051232642658,1.003556e-05,7.902056110605571e-05,1.003556e-05,0.5484793930665727
1.10914e-05,-1.446112272746396e-10,1.10914e-05,0.001422029263275662,1.10914e-05,-7.060234306661105e-11,1.10914e-05,21221.36637708981,1.10914e-05,16.33421293086693,1.10914e-05,8.70583277746085e-05,1.10914e-05,0.5412729648189355
1.225832e-05,-1.332886379631161e-10,1.225832e-05,0.001526099910274018,1.225832e-05,-6.416332685263626e-11,1.225832e-05,19524.41779546904,1.225832e-05,15.90847219735174,1.225832e-05,9.593001083586556e-05,1.225832e-05,0.5339092118859732
1.354802e-05,-1.228020514145233e-10,1.354802e-05,0.001635925025640293,1.354802e-05,-5.830458293453619e-11,1.354802e-05,17969.19386501784,1.354802e-05,15.47438756030621,1.354802e-05,0.0001057182404967452,1.354802e-05,0.5264067862135452
1.497341e-05,-1.130942986681573e-10,1.497341e-05,0.00175157714764872,1.497341e-05,-5.297625122553761e-11,1.497341e-05,16543.66002665423,1.497341e-05,15.03307612467722,1.497341e-05,0.0001165148857839851,1.497341e-05,0.5187844970558505
1.654876e-05,-1.041107088338502e-10,1.654876e-05,0.001873120262420298,1.654876e-05,-4.813174433879495e-11,1.654876e-05,15236.58776753884,1.654876e-05,14.58566911422644,1.654876e-05,0.000128421963212734,1.654876e-05,0.5110612790394335
1.828985e-05,-9.579964883935917e-11,1.828985e-05,0.002000605933676504,1.828985e-05,-4.372795119620565e-11,1.828985e-05,14037.60770932616,1.828985e-05,14.13330569449864,1.828985e-05,0.0001415525834451621,1.828985e-05,0.5032561587776517
2.021412e-05,-8.811277415103694e-11,2.021412e-05,0.002134068725309432,2.021412e-05,-3.972524850224123e-11,2.021412e-05,12937.21394043989,2.021412e-05,13.6771250641775,2.021412e-05,0.0001560319669006235,2.021412e-05,0.4953881990809204
2.234085e-05,-8.090187219504863e-11,2.234085e-05,0.002275674617484162,2.234085e-05,-3.603502763006735e-11,2.234085e-05,11912.11154398474,2.234085e-05,13.21130652411276,2.234085e-05,0.0001722520489045266,2.234085e-05,0.4873566002609824
2.469132e-05,-7.438607588483937e-11,2.469132e-05,0.002420092507755124,2.469132e-05,-3.275699657345978e-11,2.469132e-05,10991.42570178506,2.469132e-05,12.75425348256282,2.469132e-05,0.0001897478759586981,2.469132e-05,0.4794784009930431
2.728909e-05,-6.834249442629221e-11,2.728909e-05,0.002570845878214493,2.728909e-05,-2.976670058097581e-11,2.728909e-05,10141.81416976563,2.728909e-05,12.29522302204709,2.728909e-05,0.0002090930659496456,2.728909e-05,0.4715684276529769
3.016017e-05,-6.274679286365911e-11,3.016017e-05,0.002727712001288419,3.016017e-05,-2.70429644852807e-11,3.016017e-05,9358.456655788088,3.016017e-05,11.8357798734389,3.016017e-05,0.0002304632251069299,3.016017e-05,0.4636541289711587
3.333332e-05,-5.757297779330485e-11,3.333332e-05,0.002890446786812909,3.333332e-05,-2.456465595628046e-11,3.333332e-05,8636.498783499888,3.333332e-05,11.37729381960857,3.333332e-05,0.0002540539809063623,3.333332e-05,0.4557600764786134
3.684031e-05,-5.279445347417875e-11,3.684031e-05,0.003058778828029217,3.684031e-05,-2.231124860330583e-11,3.684031e-05,7971.190981104648,3.684031e-05,10.92094658709979,3.684031e-05,0.0002800836725675734,3.684031e-05,0.4479081791650527
