kcsg_p X,kcsg_p Y
2.340827e-06,5.536031600846867e-10
2.373424e-06,5.472791378299509e-10
2.406475e-06,5.410307649164641e-10
2.439986e-06,5.348570428103749e-10
2.473964e-06,5.287569867778068e-10
2.508415e-06,5.227296262670455e-10
2.543346e-06,5.1677400386303e-10
2.578763e-06,5.108891756858157e-10
2.614673e-06,5.050742113890142e-10
2.651084e-06,4.993281931990498e-10
2.688001e-06,4.936502162894578e-10
2.725433e-06,4.880393887837088e-10
2.763385e-06,4.824948307246976e-10
2.801867e-06,4.770156750037587e-10
2.840884e-06,4.716010662138615e-10
2.880444e-06,4.662501612532157e-10
2.920556e-06,4.609621285186652e-10
2.961225e-06,4.557361482125908e-10
3.002462e-06,4.505714119673838e-10
3.044272e-06,4.454671226257686e-10
3.086665e-06,4.404224942700066e-10
3.129648e-06,4.35436751770083e-10
3.17323e-06,4.30509131161775e-10
3.217418e-06,4.256388788624513e-10
3.262222e-06,4.208252519385936e-10
3.30765e-06,4.160675178004868e-10
3.35371e-06,4.113649541256558e-10
3.400412e-06,4.067168485801379e-10
3.447764e-06,4.021224989474191e-10
3.495776e-06,3.975812127549757e-10
3.544456e-06,3.930923070298814e-10
3.593814e-06,3.886551086079687e-10
3.643859e-06,3.842689536030723e-10
3.694601e-06,3.799331874439945e-10
3.74605e-06,3.756471645623633e-10
3.798215e-06,3.714102486730609e-10
3.851106999999999e-06,3.672218121385868e-10
3.904735e-06,3.630812361739187e-10
3.95911e-06,3.589879107852106e-10
4.014242e-06,3.549412342677251e-10
4.070141999999999e-06,3.509406134701426e-10
4.126820999999999e-06,3.469854635252328e-10
4.184289e-06,3.430752078074009e-10
4.242556e-06,3.392092776211208e-10
4.301636e-06,3.353871123693174e-10
4.361538e-06,3.3160815918642e-10
4.422274e-06,3.278718729765529e-10
4.483856e-06,3.241777164344582e-10
4.546295e-06,3.205251595307147e-10
4.609604e-06,3.169136799049948e-10
4.673795e-06,3.133427623669901e-10
4.73888e-06,3.098118989933253e-10
4.80487e-06,3.063205890430432e-10
4.87178e-06,3.028683387719331e-10
4.939621999999999e-06,2.994546613620327e-10
5.008408e-06,2.960790768507582e-10
5.078152e-06,2.927411120597222e-10
5.148867e-06,2.894403003848777e-10
5.220568e-06,2.861761818766079e-10
5.293266e-06,2.82948303078979e-10
5.366977e-06,2.797562167961917e-10
5.441714e-06,2.765994823421609e-10
5.517492e-06,2.734776650933696e-10
5.594325999999999e-06,2.703903366120545e-10
5.672229e-06,2.673370745106282e-10
5.751216999999999e-06,2.643174624393746e-10
5.831305e-06,2.613310898456162e-10
5.912508e-06,2.583775520818098e-10
5.994843e-06,2.554564501740085e-10
6.078322999999999e-06,2.525673908196606e-10
6.162966e-06,2.497099863106617e-10
6.248788e-06,2.468838544587964e-10
6.335804999999999e-06,2.440886184916366e-10
6.424033999999999e-06,2.41323907047875e-10
6.513491e-06,2.38589353953691e-10
6.604194e-06,2.358845983471216e-10
6.696159999999999e-06,2.332092844607195e-10
6.789407e-06,2.305630616513508e-10
6.883951999999999e-06,2.279455842539337e-10
6.979814e-06,2.253565115549289e-10
7.077010999999999e-06,2.22795507710024e-10
7.175561e-06,2.202622416659996e-10
7.275484e-06,2.177563871606383e-10
7.376798e-06,2.152776225460074e-10
7.479523e-06,2.128256308653701e-10
7.583678e-06,2.104000996588962e-10
7.689283999999999e-06,2.080007209467753e-10
7.796359999999999e-06,2.056271912298202e-10
7.904927999999999e-06,2.032792112905189e-10
8.015006999999999e-06,2.009564863072571e-10
8.126619e-06,1.986587256607464e-10
8.239786e-06,1.963856428798885e-10
8.354527999999999e-06,1.941369557050113e-10
8.470868e-06,1.919123858330571e-10
8.588829000000001e-06,1.897116590792722e-10
8.708430999999999e-06,1.875345051498305e-10
8.829700000000001e-06,1.853806576679381e-10
8.952657000000001e-06,1.832498540529825e-10
9.077326999999999e-06,1.811418355774329e-10
9.203732000000001e-06,1.790563471810422e-10
9.331898000000001e-06,1.76993137527534e-10
9.461847999999999e-06,1.749519588608377e-10
9.593607999999999e-06,1.729325670115709e-10
9.727202999999999e-06,1.709347213078383e-10
9.862658e-06,1.689581845356626e-10
9.999999999999999e-06,1.67002722898937e-10
1.013925e-05,1.650681058965656e-10
1.028045e-05,1.631541065726401e-10
1.042361e-05,1.612605008099065e-10
1.056876e-05,1.593870680435996e-10
1.071593e-05,1.57533590612433e-10
1.086516e-05,1.556998541659197e-10
1.101646e-05,1.538856472978624e-10
1.116987e-05,1.520907616875869e-10
1.132541e-05,1.503149916516948e-10
1.148312e-05,1.485581347446706e-10
