kcgs_n X,kcgs_n Y
3.61875e-07,-2.509419832916813e-09
3.669142e-07,-2.478410385783488e-09
3.720237e-07,-2.447811557866942e-09
3.772042000000001e-07,-2.417617869277813e-09
3.82457e-07,-2.387823899668968e-09
3.877828e-07,-2.358424287857799e-09
3.931829000000001e-07,-2.32941373415341e-09
3.986581e-07,-2.300786997145185e-09
4.042096e-07,-2.272538896493274e-09
4.098384e-07,-2.244664311356519e-09
4.155455e-07,-2.217158181409885e-09
4.213322e-07,-2.190015506280536e-09
4.271994000000001e-07,-2.163231345481095e-09
4.331483e-07,-2.136800817870765e-09
4.391801e-07,-2.110719102007413e-09
4.452959000000001e-07,-2.084981436810338e-09
4.514968e-07,-2.059583118825604e-09
4.577841000000001e-07,-2.034519504186967e-09
4.641589e-07,-2.009786006768914e-09
4.706225e-07,-1.985378099915766e-09
4.771761000000001e-07,-1.961291313482713e-09
4.838210000000001e-07,-1.937521235148769e-09
4.905584e-07,-1.914063509743168e-09
4.973896e-07,-1.89091383793253e-09
5.043159000000001e-07,-1.86806797764452e-09
5.113388e-07,-1.845521741393137e-09
5.184594e-07,-1.823270997024913e-09
5.256791e-07,-1.801311667677129e-09
5.329994000000001e-07,-1.779639729908947e-09
5.404216000000001e-07,-1.758251214318003e-09
5.479472e-07,-1.737142204601419e-09
5.555776e-07,-1.71630883695043e-09
5.633143000000001e-07,-1.695747299197447e-09
5.711586e-07,-1.675453831804764e-09
5.791123e-07,-1.655424724890728e-09
5.871766e-07,-1.635656319989277e-09
5.953533000000001e-07,-1.616145007928951e-09
6.036439e-07,-1.596887229019733e-09
6.120498e-07,-1.577879472241428e-09
6.205729000000001e-07,-1.559118274477993e-09
6.292146000000001e-07,-1.5406002208499e-09
6.379767e-07,-1.519849138423374e-09
6.468608000000001e-07,-1.501993537619054e-09
6.558686000000001e-07,-1.484358249196274e-09
6.650018000000001e-07,-1.466940837490935e-09
6.742622e-07,-1.449738868837693e-09
6.836516000000001e-07,-1.432749914191913e-09
6.931717e-07,-1.415971549241725e-09
7.028244e-07,-1.399401355488585e-09
7.126115000000001e-07,-1.383036921962116e-09
7.225349e-07,-1.366875846000579e-09
7.325965e-07,-1.350915734345887e-09
7.427982e-07,-1.335154203577661e-09
7.531420000000001e-07,-1.319588882076682e-09
7.636298000000001e-07,-1.304217409767619e-09
7.742637e-07,-1.289037439545912e-09
7.850456e-07,-1.274046638306803e-09
7.959777000000001e-07,-1.259242686965629e-09
8.070620000000001e-07,-1.244623281725325e-09
8.183007000000001e-07,-1.23018613459302e-09
8.296959000000001e-07,-1.215928974008734e-09
8.412497e-07,-1.201849545321291e-09
8.529645000000001e-07,-1.187945611484609e-09
8.648423000000001e-07,-1.17421495347304e-09
8.768856e-07,-1.160655370793718e-09
8.890966e-07,-1.147264681964234e-09
9.014776000000001e-07,-1.134040724852576e-09
9.140311000000001e-07,-1.120981357102323e-09
9.267593000000001e-07,-1.108084456425337e-09
9.396648000000001e-07,-1.095347920876526e-09
9.527500000000001e-07,-1.082769669395846e-09
9.660175000000001e-07,-1.07034764154793e-09
9.794697000000001e-07,-1.058079798487929e-09
9.931092e-07,-1.045964122391587e-09
1e-06,-1.039962722327795e-09
1.006939e-06,-1.033998617517254e-09
1.020961e-06,-1.022181308369342e-09
1.035178e-06,-1.010510242440468e-09
1.049593e-06,-9.989834898602359e-10
1.064209e-06,-9.875991417794968e-10
1.079029e-06,-9.763553101935813e-10
1.094055e-06,-9.65250132173181e-10
1.10929e-06,-9.542837149297321e-10
1.124737e-06,-9.434501814750868e-10
1.1404e-06,-9.327498504622584e-10
1.15628e-06,-9.221809457812412e-10
1.172382e-06,-9.117417118119564e-10
1.188708e-06,-9.014304151645115e-10
1.205261e-06,-8.912453455387243e-10
1.222045e-06,-8.811848128788677e-10
1.239062e-06,-8.712471501233315e-10
1.256317e-06,-8.614307110294495e-10
1.273811e-06,-8.517338704872472e-10
1.29155e-06,-8.421550258337975e-10
1.309535e-06,-8.326925953463845e-10
1.327771e-06,-8.233450174374694e-10
1.346261e-06,-8.141107524142265e-10
1.365008e-06,-8.049882805862096e-10
1.384016e-06,-7.959761039029024e-10
1.403289e-06,-7.870727436697813e-10
1.42283e-06,-7.782767416865254e-10
1.442644e-06,-7.695866594589939e-10
1.462733e-06,-7.610010787652701e-10
1.483103e-06,-7.525186008748979e-10
1.503755e-06,-7.441378462538002e-10
1.524696e-06,-7.358574546760317e-10
1.545928e-06,-7.276760852897292e-10
1.567455e-06,-7.195924151595224e-10
1.589283e-06,-7.116051405259628e-10
1.611414e-06,-7.037129764426897e-10
1.633854e-06,-6.959146547175275e-10
1.656606e-06,-6.882089264797934e-10
1.679675e-06,-6.805945597772014e-10
1.703065e-06,-6.730703403541473e-10
1.726781e-06,-6.656350710510322e-10
1.750827e-06,-6.572519808886902e-10
1.775208e-06,-6.500667948512951e-10
1.799929e-06,-6.429619572214428e-10
1.824993e-06,-6.359366470026445e-10
1.850407e-06,-6.289900433262881e-10
1.876175e-06,-6.221213264034372e-10
1.902301e-06,-6.153296763349278e-10
1.928792e-06,-6.086142761504614e-10
1.955651e-06,-6.019743095716647e-10
1.982884e-06,-5.954089631881324e-10
2.010496e-06,-5.889174258099804e-10
2.038493e-06,-5.824988893110318e-10
2.06688e-06,-5.762033126407476e-10
2.095662e-06,-5.699265353078071e-10
2.124845e-06,-5.637204097234768e-10
2.154435e-06,-5.572536049967179e-10
2.184436e-06,-5.511851890377859e-10
2.214855e-06,-5.45185067868698e-10
2.245698e-06,-5.39252461690406e-10
2.27697e-06,-5.333865958715474e-10
2.308678e-06,-5.275867006472695e-10
2.340827e-06,-5.218520124704152e-10
2.373424e-06,-5.161817732964144e-10
2.406475e-06,-5.105752311604795e-10
2.439986e-06,-5.050316401979556e-10
2.473964e-06,-4.995502606759492e-10
2.508415e-06,-4.941303596555916e-10
2.543346e-06,-4.887712103574581e-10
2.578763e-06,-4.834720928109823e-10
2.614673e-06,-4.782322941320744e-10
2.651084e-06,-4.730511133638803e-10
2.688001e-06,-4.679278456279236e-10
2.725433e-06,-4.628617979947757e-10
2.763385e-06,-4.578522852244622e-10
2.801867e-06,-4.528986297402675e-10
2.840884e-06,-4.480001608017154e-10
2.880444e-06,-4.431562152481623e-10
2.920556e-06,-4.383661369569918e-10
2.961225e-06,-4.336292772993179e-10
3.002462e-06,-4.289449949684082e-10
3.044272e-06,-4.24312655939727e-10
3.086665e-06,-4.197316336478888e-10
3.129648e-06,-4.152013087184875e-10
3.17323e-06,-4.107210694455751e-10
3.217418e-06,-4.062903112051999e-10
3.262222e-06,-4.019084368171752e-10
3.30765e-06,-3.975748563789677e-10
3.35371e-06,-3.93288987300774e-10
3.400412e-06,-3.890502541499063e-10
3.447764e-06,-3.848580888605155e-10
3.495776e-06,-3.807119304793623e-10
3.544456e-06,-3.766112250232615e-10
3.593814e-06,-3.725554258367524e-10
3.643859e-06,-3.68543993177907e-10
3.694601e-06,-3.645763943173802e-10
3.74605e-06,-3.606521033140842e-10
3.798215e-06,-3.567706013286219e-10
3.851106999999999e-06,-3.529313760942306e-10
3.904735e-06,-3.491339221531465e-10
3.95911e-06,-3.45377740846274e-10
4.014242e-06,-3.416623398945857e-10
4.070141999999999e-06,-3.379872336805666e-10
4.126820999999999e-06,-3.343519430370942e-10
4.184289e-06,-3.307559952416845e-10
4.242556e-06,-3.271989237608813e-10
4.301636e-06,-3.236802684331671e-10
4.361538e-06,-3.201995751575682e-10
4.422274e-06,-3.167563959525853e-10
4.483856e-06,-3.133502889977614e-10
4.546295e-06,-3.099808181793939e-10
4.609604e-06,-3.066475534717125e-10
4.673795e-06,-3.033500704936307e-10
4.73888e-06,-3.000879506137409e-10
4.80487e-06,-2.964250533120926e-10
4.87178e-06,-2.93265229784149e-10
4.939621999999999e-06,-2.901373188406956e-10
5.008408e-06,-2.870410570241703e-10
5.078152e-06,-2.839761795576595e-10
5.148867e-06,-2.809424204183711e-10
5.220568e-06,-2.779395126708666e-10
5.293266e-06,-2.749671885730551e-10
5.366977e-06,-2.720251796083403e-10
5.441714e-06,-2.691132169564549e-10
5.517492e-06,-2.662310313161419e-10
5.594325999999999e-06,-2.633783532468298e-10
5.672229e-06,-2.605549132655905e-10
5.751216999999999e-06,-2.5776044205169e-10
5.831305e-06,-2.549946704332672e-10
5.912508e-06,-2.522573296907562e-10
5.994843e-06,-2.495481515395885e-10
6.078322999999999e-06,-2.468668683191834e-10
6.162966e-06,-2.442132131065717e-10
6.248788e-06,-2.415869198262739e-10
6.335804999999999e-06,-2.389877233267239e-10
6.424033999999999e-06,-2.364153595432725e-10
6.513491e-06,-2.338695654516721e-10
6.604194e-06,-2.313500793397325e-10
6.696159999999999e-06,-2.288566407553397e-10
6.789407e-06,-2.263889906791468e-10
6.883951999999999e-06,-2.239468715277634e-10
6.979814e-06,-2.215300272634136e-10
7.077010999999999e-06,-2.191382034462965e-10
7.175561e-06,-2.167711472858804e-10
7.275484e-06,-2.144286077601844e-10
7.376798e-06,-2.121379980192164e-10
7.479523e-06,-2.098410763861664e-10
7.583678e-06,-2.075681671462763e-10
7.689283999999999e-06,-2.053190073089881e-10
7.796359999999999e-06,-2.030933372849029e-10
7.904927999999999e-06,-2.008909007059789e-10
8.015006999999999e-06,-1.987114445396125e-10
8.126619e-06,-1.965547189144153e-10
8.239786e-06,-1.944204770768551e-10
8.354527999999999e-06,-1.923084754585221e-10
8.470868e-06,-1.902184734449525e-10
8.588829000000001e-06,-1.881502335358962e-10
8.708430999999999e-06,-1.861035211404122e-10
8.829700000000001e-06,-1.840781046103723e-10
8.952657000000001e-06,-1.820737551360739e-10
9.077326999999999e-06,-1.800902468093505e-10
9.203732000000001e-06,-1.781273564586209e-10
9.331898000000001e-06,-1.761848637123742e-10
9.461847999999999e-06,-1.742625508742763e-10
9.593607999999999e-06,-1.723602029399477e-10
9.727202999999999e-06,-1.704776075239702e-10
9.862658e-06,-1.686145548338538e-10
9.999999999999999e-06,-1.667708376438428e-10
1.013925e-05,-1.649462511908899e-10
1.028045e-05,-1.631405934227492e-10
1.042361e-05,-1.613536643438444e-10
1.056876e-05,-1.595852667012658e-10
1.071593e-05,-1.578352053852377e-10
1.086516e-05,-1.561032878266807e-10
1.101646e-05,-1.543893236645569e-10
1.116987e-05,-1.526931248928219e-10
1.132541e-05,-1.510145054505599e-10
1.148312e-05,-1.493532818035966e-10
1.164303e-05,-1.477092726291824e-10
1.180517e-05,-1.460822984409575e-10
