kgds_p X,kgds_p Y,kcdg_p X,kcdg_p Y,kgmp X,kgmp Y,reff X,reff Y,kcsg_p X,kcsg_p Y
1.588565e-06,-0.1801995661846297,1.588565e-06,4.94704694553214e-11,1.588565e-06,-13.29236281171204,1.588565e-06,4904011.083053546,1.588565e-06,1.709508469588356e-10
1.722586e-06,-0.1780412731219226,1.722586e-06,4.759277903917982e-11,1.722586e-06,-13.15516347750237,1.722586e-06,4790487.066174337,1.722586e-06,1.65791249126779e-10
1.867914e-06,-0.1760003354916827,1.867914e-06,4.586290833848774e-11,1.867914e-06,-13.02390368685177,1.867914e-06,4683890.278316206,1.867914e-06,1.609865651517163e-10
2.025502e-06,-0.1740706988839042,2.025502e-06,4.426796726360465e-11,2.025502e-06,-12.89848772902731,2.025502e-06,4583841.026648754,2.025502e-06,1.565116102394727e-10
2.196385e-06,-0.1723256707334552,2.196385e-06,4.285933493098169e-11,2.196385e-06,-12.7840124987768,2.196385e-06,4494024.376767206,2.196385e-06,1.525222902688032e-10
2.381686e-06,-0.1706803868592529,2.381686e-06,4.156029638265599e-11,2.381686e-06,-12.67518077873661,2.381686e-06,4409944.625680448,2.381686e-06,1.488115456920064e-10
2.582619e-06,-0.1691474811718069,2.582619e-06,4.037516914179706e-11,2.582619e-06,-12.57302041898049,2.582619e-06,4332158.916392957,2.582619e-06,1.453987932718237e-10
2.800504e-06,-0.1677201126218777,2.800504e-06,3.929328731434821e-11,2.800504e-06,-12.47725004803384,2.800504e-06,4260224.228222678,2.800504e-06,1.422598840948664e-10
3.036771e-06,-0.1663907187506974,3.036771e-06,3.830428334249915e-11,3.036771e-06,-12.38750910669693,3.036771e-06,4193670.215884803,3.036771e-06,1.393703255328522e-10
3.292971e-06,-0.1651490498389452,3.292971e-06,3.739662200369565e-11,3.292971e-06,-12.30322693458385,3.292971e-06,4131903.869658187,3.292971e-06,1.367010854028373e-10
3.570786e-06,-0.1639859299540449,3.570786e-06,3.656035114197661e-11,3.570786e-06,-12.22387960315621,3.570786e-06,4074399.292150147,3.570786e-06,1.342267487081525e-10
3.872039e-06,-0.1628977132159947,3.872039e-06,3.579007317954991e-11,3.872039e-06,-12.14930186645215,3.872039e-06,4020914.192815477,3.872039e-06,1.319346176058032e-10
4.198707e-06,-0.161868296507642,4.198707e-06,3.507213144503627e-11,4.198707e-06,-12.07845651875873,4.198707e-06,3970604.874441458,4.198707e-06,1.297867118372348e-10
4.552935e-06,-0.1608955931799277,4.552935e-06,3.440324308345768e-11,4.552935e-06,-12.01125366252739,4.552935e-06,3923326.195198518,4.552935e-06,1.277753610775108e-10
4.937048e-06,-0.1599847733687511,4.937048e-06,3.378521657909042e-11,4.937048e-06,-11.94810160299965,4.937048e-06,3879286.583785226,4.937048e-06,1.259080345380715e-10
5.353567e-06,-0.1591061235634184,5.353567e-06,3.319657769669495e-11,5.353567e-06,-11.88697610176587,5.353567e-06,3837016.193319825,5.353567e-06,1.241213888588424e-10
5.805226e-06,-0.1582650906962405,5.805226e-06,3.264004488338027e-11,5.805226e-06,-11.82828321629059,5.805226e-06,3796754.142270817,5.805226e-06,1.22424782489896e-10
6.294989e-06,-0.1574857767079702,6.294989e-06,3.213034107077845e-11,6.294989e-06,-11.77374100406169,6.294989e-06,3759622.185400086,6.294989e-06,1.208645070158922e-10
6.826072e-06,-0.1567165487215889,6.826072e-06,3.163284618403002e-11,6.826072e-06,-11.7197563201399,6.826072e-06,3723136.839605139,6.826072e-06,1.19335581919811e-10
7.40196e-06,-0.1559798510913147,7.40196e-06,3.116158396843555e-11,7.40196e-06,-11.66791960027746,7.40196e-06,3688350.52537397,7.40196e-06,1.178817003161969e-10
8.026434e-06,-0.1552828622144972,8.026434e-06,3.072037215970594e-11,8.026434e-06,-11.61875786828676,8.026434e-06,3655580.936763706,8.026434e-06,1.165155325448686e-10
8.703591e-06,-0.1545948531363317,8.703591e-06,3.028925191415745e-11,8.703591e-06,-11.57011571633039,8.703591e-06,3623369.055939381,8.703591e-06,1.151758790301474e-10
9.437878e-06,-0.1539365029368191,9.437878e-06,2.988079154418274e-11,9.437878e-06,-11.523467056195,9.437878e-06,3592672.784168695,9.437878e-06,1.139022585096183e-10
1.023411e-05,-0.1532941670997255,1.023411e-05,2.948608609358265e-11,1.023411e-05,-11.47785639980649,1.023411e-05,3562843.413465735,1.023411e-05,1.126674215743898e-10
1.109752e-05,-0.1526666333372347,1.109752e-05,2.910409854090972e-11,1.109752e-05,-11.43320558312801,1.109752e-05,3533816.624114811,1.109752e-05,1.114684772590681e-10
1.203378e-05,-0.1520533764121831,1.203378e-05,2.873424105163391e-11,1.203378e-05,-11.38948457529185,1.203378e-05,3505560.702034526,1.203378e-05,1.103039050740799e-10
1.304902e-05,-0.1514541370048723,1.304902e-05,2.837610403701003e-11,1.304902e-05,-11.34668159876951,1.304902e-05,3478056.552874029,1.304902e-05,1.091727216735937e-10
1.414991e-05,-0.1508806246927093,1.414991e-05,2.80363497472672e-11,1.414991e-05,-11.30564281283865,1.414991e-05,3451831.832507463,1.414991e-05,1.080963607144389e-10
1.534368e-05,-0.1503076820002785,1.534368e-05,2.769985508827958e-11,1.534368e-05,-11.26457231882965,1.534368e-05,3425729.518159139,1.534368e-05,1.070271795683196e-10
1.663817e-05,-0.1497498518805679,1.663817e-05,2.737502725090622e-11,1.663817e-05,-11.22451711567254,1.663817e-05,3400408.703896914,1.663817e-05,1.059920599616352e-10
1.804186e-05,-0.1492020420512203,1.804186e-05,2.70587007570007e-11,1.804186e-05,-11.18511655591237,1.804186e-05,3375632.269253391,1.804186e-05,1.049811560424459e-10
1.956398e-05,-0.1486614543955821,1.956398e-05,2.674912190459937e-11,1.956398e-05,-11.1461729923782,1.956398e-05,3351269.716218947,1.956398e-05,1.039890357786123e-10
2.121452e-05,-0.1481271195283812,2.121452e-05,2.644562723293673e-11,2.121452e-05,-11.1076194903098,2.121452e-05,3327274.358191928,2.121452e-05,1.030137121530545e-10
2.30043e-05,-0.1476055616404413,2.30043e-05,2.615177777987088e-11,2.30043e-05,-11.06993088197386,2.30043e-05,3303934.931742068,2.30043e-05,1.02066805643478e-10
2.494508e-05,-0.1470898908826051,2.494508e-05,2.586355353186927e-11,2.494508e-05,-11.03261254902247,2.494508e-05,3280938.906123557,2.494508e-05,1.011355324557752e-10
2.70496e-05,-0.14657942567622,2.70496e-05,2.558048850788331e-11,2.70496e-05,-10.9956174578739,2.70496e-05,3258253.518179302,2.70496e-05,1.00218497953781e-10
2.933166e-05,-0.146073147854839,2.933166e-05,2.530194571577068e-11,2.933166e-05,-10.95887373995192,2.933166e-05,3235831.543911725,2.933166e-05,9.931373536637473e-11
3.180626e-05,-0.1455762076150809,3.180626e-05,2.503066071415945e-11,3.180626e-05,-10.92275798030868,3.180626e-05,3213898.202915979,3.180626e-05,9.843025346955744e-11
3.448962e-05,-0.1450735818426101,3.448962e-05,2.475839971184807e-11,3.448962e-05,-10.88617848002162,3.448962e-05,3191789.666108604,3.448962e-05,9.754129263282606e-11
3.739937e-05,-0.1445962401973294,3.739937e-05,2.450180410722055e-11,3.739937e-05,-10.85139434637491,3.739937e-05,3170864.155789823,3.739937e-05,9.670134533287088e-11
4.055461e-05,-0.1441106782340605,4.055461e-05,2.424275154240906e-11,4.055461e-05,-10.81596484982716,4.055461e-05,3149649.058958457,4.055461e-05,9.585123283938211e-11
4.397604e-05,-0.1436304038445597,4.397604e-05,2.398845642117144e-11,4.397604e-05,-10.78087640613996,4.397604e-05,3128735.426156501,4.397604e-05,9.501463446829826e-11
4.768612e-05,-0.1431505067973843,4.768612e-05,2.373627626296161e-11,4.768612e-05,-10.74577109930191,4.768612e-05,3107908.301705335,4.768612e-05,9.41829194340283e-11
5.17092e-05,-0.1426855124316142,5.17092e-05,2.349374370533224e-11,5.17092e-05,-10.71171497563334,5.17092e-05,3087794.969908157,5.17092e-05,9.338105163907796e-11
5.60717e-05,-0.1422153855414619,5.60717e-05,2.325034505430807e-11,5.60717e-05,-10.67724101754046,5.60717e-05,3067526.716190162,5.60717e-05,9.257435795230587e-11
6.080224e-05,-0.1417462515970428,6.080224e-05,2.300926682153174e-11,6.080224e-05,-10.64279861296628,6.080224e-05,3047368.665985913,6.080224e-05,9.177339562851711e-11
6.593188e-05,-0.1412846401054572,6.593188e-05,2.277380716422566e-11,6.593188e-05,-10.6088688307268,6.593188e-05,3027599.688658896,6.593188e-05,9.098919794057893e-11
7.149429e-05,-0.1408286141870219,7.149429e-05,2.254289606544943e-11,7.149429e-05,-10.57531143355733,7.149429e-05,3008134.162444858,7.149429e-05,9.021830362695629e-11
7.752597e-05,-0.1403700529278993,7.752597e-05,2.231239769497268e-11,7.752597e-05,-10.54152892586045,7.752597e-05,2988624.87282714,7.752597e-05,8.944694625825849e-11
8.406653e-05,-0.1399112118995704,8.406653e-05,2.208345360228853e-11,8.406653e-05,-10.50768761743467,8.406653e-05,2969168.49450154,8.406653e-05,8.867895008868988e-11
9.115888e-05,-0.1394610181862529,9.115888e-05,2.186046402721837e-11,9.115888e-05,-10.47444764278969,9.115888e-05,2950141.920515534,9.115888e-05,8.792914633531432e-11
9.884959e-05,-0.1390121115404114,9.884959e-05,2.163972241257943e-11,9.884959e-05,-10.44126682206771,9.884959e-05,2931232.088765163,9.884959e-05,8.718515153413926e-11
0.0001071891,-0.1385622494328715,0.0001071891,2.142011751709998e-11,0.0001071891,-10.4079794867359,0.0001071891,2912344.554388375,0.0001071891,8.644324288252835e-11
0.0001162322,-0.1381119597984133,0.0001162322,2.120190725444621e-11,0.0001162322,-10.37462488518405,0.0001162322,2893501.871342197,0.0001162322,8.570430378693583e-11
0.0001260383,-0.1376691538393676,0.0001260383,2.098888040459424e-11,0.0001260383,-10.34179049477247,0.0001260383,2875033.72061034,0.0001260383,8.498122458682256e-11
0.0001366716,-0.1372261385810551,0.0001366716,2.07772914535199e-11,0.0001366716,-10.30890667706544,0.0001366716,2856617.825312949,0.0001366716,8.426135368543842e-11
0.0001482021,-0.136782832976634,0.0001482021,2.056709771236646e-11,0.0001482021,-10.27596753226155,0.0001482021,2838251.00933572,0.0001482021,8.354456251704018e-11
0.0001607053,-0.1363389481816964,0.0001607053,2.035815999441103e-11,0.0001607053,-10.24295176570883,0.0001607053,2819921.576824529,0.0001607053,8.28303909267038e-11
0.0001742633,-0.1359014543913754,0.0001742633,2.015372213040226e-11,0.0001742633,-10.21037904485959,0.0001742633,2801916.236232408,0.0001742633,8.2129977881251e-11
0.0001889652,-0.1354633388962052,0.0001889652,1.995047173298738e-11,0.0001889652,-10.17772783959592,0.0001889652,2783945.272449137,0.0001889652,8.143202652394528e-11
0.0002049075,-0.1350249710339309,0.0002049075,1.974857823220362e-11,0.0002049075,-10.14502576934838,0.0002049075,2766024.102273912,0.0002049075,8.073713266105277e-11
0.0002221947,-0.1345858420777502,0.0002221947,1.954780603171636e-11,0.0002221947,-10.11223499968707,0.0002221947,2748132.224793277,0.0002221947,8.004449865776016e-11
0.0002409404,-0.1341521200112099,0.0002409404,1.935094507321802e-11,0.0002409404,-10.07981712815374,0.0002409404,2730520.0715434,0.0002409404,7.936379286125557e-11
0.0002612675,-0.1337181574730328,0.0002612675,1.915540063245055e-11,0.0002612675,-10.04735060427199,0.0002612675,2712957.348357496,0.0002612675,7.868609000239803e-11
