kcgd_n X,kcgd_n Y,kgds_n X,kgds_n Y,vs X,vs Y,gmn X,gmn Y,kcgs_n X,kcgs_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y
1.747528e-07,-6.832893349130061e-09,1.747528e-07,0.3955818520680906,1.747528e-07,1.193865155099615,1.747528e-07,2.202798416626944e-06,1.747528e-07,-8.854567349810131e-09,1.747528e-07,25973143.01042255,1.747528e-07,22.63266117827537,1.747528e-07,9.732829910171435e-08
2.009233e-07,-5.995761157291839e-09,2.009233e-07,0.3920388345384434,2.009233e-07,1.18997143965304,2.009233e-07,2.496812346067626e-06,2.009233e-07,-7.835447599001806e-09,2.009233e-07,22996711.81754437,2.009233e-07,22.51027162205693,2.009233e-07,1.109188013360576e-07
2.31013e-07,-5.25776140302538e-09,2.31013e-07,0.3884657096447801,2.31013e-07,1.186031997929619,2.31013e-07,2.831355941930421e-06,2.31013e-07,-6.933810009044333e-09,2.31013e-07,20351315.1271784,2.31013e-07,22.38410003636877,2.31013e-07,1.26489603661981e-07
2.656088e-07,-4.621117539131669e-09,2.656088e-07,0.3849407970785048,2.656088e-07,1.182133977256558,2.656088e-07,3.203192359050902e-06,2.656088e-07,-6.152996895379822e-09,2.656088e-07,18050563.96310287,2.656088e-07,22.25705691773059,2.656088e-07,1.439180557829796e-07
3.053856e-07,-4.062825928749063e-09,3.053856e-07,0.3814090688479451,3.053856e-07,1.178217490860762,3.053856e-07,3.622185003741596e-06,3.053856e-07,-5.465410143123217e-09,3.053856e-07,16016507.34098008,3.053856e-07,22.12735280782456,3.053856e-07,1.636971686220295e-07
3.511192e-07,-3.573615632039087e-09,3.511192e-07,0.3778728699559025,3.511192e-07,1.174285916565771,3.511192e-07,4.093527865335694e-06,3.511192e-07,-4.86013569381393e-09,3.511192e-07,14219527.13540097,3.511192e-07,21.99523556243782,3.511192e-07,1.861097533470558e-07
4.037017e-07,-3.145069795201776e-09,4.037017e-07,0.3743333184450175,4.037017e-07,1.170341378161903,4.037017e-07,4.622996554238046e-06,4.037017e-07,-4.327242657480021e-09,4.037017e-07,12632424.90966735,4.037017e-07,21.86093733687339,4.037017e-07,2.114729337996098e-07
4.641589e-07,-2.769666571873016e-09,4.641589e-07,0.3707906929683687,4.641589e-07,1.166385171038746,4.641589e-07,5.21698609326123e-06,4.641589e-07,-3.857840983847259e-09,4.641589e-07,11230651.671215,4.641589e-07,21.72468364964305,4.641589e-07,2.401409464642284e-07
5.336699e-07,-2.440753258440043e-09,5.336699e-07,0.3672447297777965,5.336699e-07,1.162418094897387,5.336699e-07,5.882544735589793e-06,5.336699e-07,-3.444058174079621e-09,5.336699e-07,9992299.449079808,5.336699e-07,21.58669975975429,5.336699e-07,2.725078312599254e-07
6.135907e-07,-2.152483476596487e-09,6.135907e-07,0.3636948267542052,6.135907e-07,1.158440687289874,6.135907e-07,6.627406389029453e-06,6.135907e-07,-3.078970389061894e-09,6.135907e-07,8897953.884113327,6.135907e-07,21.44721356211917,6.135907e-07,3.090101364372579e-07
7.054802e-07,-1.896547460587007e-09,7.054802e-07,0.360092135243326,7.054802e-07,1.154399465940055,7.054802e-07,7.471907523301798e-06,7.054802e-07,-2.752425503770533e-09,7.054802e-07,7918212.888442948,7.054802e-07,21.304546706581,7.054802e-07,3.507189158356379e-07
8.111308000000001e-07,-1.67630714577597e-09,8.111308000000001e-07,0.3565499480651285,8.111308000000001e-07,1.150423018447508,8.111308000000001e-07,8.397822103974122e-06,8.111308000000001e-07,-2.469141750018349e-09,8.111308000000001e-07,7068050.369733877,8.111308000000001e-07,21.16346059083215,8.111308000000001e-07,3.968076046888095e-07
9.326033000000001e-07,-1.482547490076323e-09,9.326033000000001e-07,0.3529940447445401,9.326033000000001e-07,1.14642969217261,9.326033000000001e-07,9.431816397522268e-06,9.326033000000001e-07,-2.217726880926605e-09,9.326033000000001e-07,6313881.930211342,9.326033000000001e-07,21.02128077419773,9.326033000000001e-07,4.486794357981847e-07
1.072267e-06,-1.312161637912077e-09,1.072267e-06,0.3494258597688474,1.072267e-06,1.14242280354644,1.072267e-06,1.058435727642982e-05,1.072267e-06,-1.994522588393926e-09,1.072267e-06,5645154.423592875,1.072267e-06,20.87831088594984,1.072267e-06,5.069546734047634e-07
1.232847e-06,-1.162325482176142e-09,1.232847e-06,0.345845412397059,1.232847e-06,1.138404208399739,1.232847e-06,1.186698175736879e-05,1.232847e-06,-1.796198945622574e-09,1.232847e-06,5052160.261739421,1.232847e-06,20.73477907812429,1.232847e-06,5.723225558688859e-07
1.417474e-06,-1.030575643359793e-09,1.417474e-06,0.3422535098915035,1.417474e-06,1.134376748239973,1.417474e-06,1.329159098232244e-05,1.417474e-06,-1.619859939043974e-09,1.417474e-06,4526377.377071767,1.417474e-06,20.59091465479557,1.417474e-06,6.455075554026864e-07
1.629751e-06,-9.146712639876504e-10,1.629751e-06,0.3386489817573078,1.629751e-06,1.130341112687942,1.629751e-06,1.487150923859751e-05,1.629751e-06,-1.462863570368628e-09,1.629751e-06,4059953.696188037,1.629751e-06,20.44682593478097,1.629751e-06,7.273260547154365e-07
1.873817e-06,-8.126619935066967e-10,1.873817e-06,0.3350310031298397,1.873817e-06,1.12629840500335,1.873817e-06,1.662068248143147e-05,1.873817e-06,-1.322915410047013e-09,1.873817e-06,3646006.519032642,1.873817e-06,20.30258284943625,1.873817e-06,8.186486716833168e-07
2.154435e-06,-7.235321041267031e-10,2.154435e-06,0.3310687983890843,2.154435e-06,1.122225366663415,2.154435e-06,1.851550682007093e-05,2.154435e-06,-1.198742389735665e-09,2.154435e-06,3284850.629360644,2.154435e-06,20.13582753481857,2.154435e-06,9.195304632031733e-07
2.477076e-06,-6.444266912456999e-10,2.477076e-06,0.3273932742520814,2.477076e-06,1.118168137528435,2.477076e-06,2.063752293573836e-05,2.477076e-06,-1.08716694220713e-09,2.477076e-06,2958459.405720284,2.477076e-06,19.98908601283611,2.477076e-06,1.032439548385847e-06
2.848036e-06,-5.747684657322657e-10,2.848036e-06,0.3237047781879482,2.848036e-06,1.11411076787965,2.848036e-06,2.296918952913908e-05,2.848036e-06,-9.874400632672963e-10,2.848036e-06,2668647.532912013,2.848036e-06,19.84202527997936,2.848036e-06,1.157603077560587e-06
