kgmp X,kgmp Y,kgds X,kgds Y,ids X,ids Y,kcds X,kcds Y,kcgd X,kcgd Y,rds X,rds Y,kcgs X,kcgs Y
10.52758,-15.64580322326377,10.52758,-0.270974684179232,10.52758,-1.532212725069943e-05,10.52758,-3.381754499749852e-13,10.52758,2.657751426346826e-10,10.52758,240853.0866395443,10.52758,4.965482806541355e-10
10.98794,-15.64580322318152,10.98794,-0.2709746841781668,10.98794,-1.599214996991928e-05,10.98794,-3.381754499694797e-13,10.98794,2.65775142629224e-10,10.98794,230762.0707141209,10.98794,4.965482806470548e-10
11.46843,-15.64580322310272,11.46843,-0.2709746841771465,11.46843,-1.669147217456407e-05,11.46843,-3.381754499643954e-13,11.46843,2.65775142623994e-10,11.46843,221093.8378381605,11.46843,4.965482806402711e-10
11.96993,-15.6458032230272,11.96993,-0.2709746841761685,11.96993,-1.742137510454057e-05,11.96993,-3.381754499592535e-13,11.96993,2.657751426189808e-10,11.96993,211830.6746804804,11.96993,4.965482806337684e-10
12.49337,-15.64580322295484,12.49337,-0.2709746841752317,12.49337,-1.818319602721326e-05,12.49337,-3.381754499543973e-13,12.49337,2.657751426141786e-10,12.49337,202955.6100449135,12.49337,4.96548280627539e-10
13.03969,-15.64580322288552,13.03969,-0.270974684174334,13.03969,-1.897833068743541e-05,13.03969,-3.381754499498404e-13,13.03969,2.657751426095772e-10,13.03969,194452.3837770807,13.03969,4.965482806215709e-10
13.60991,-15.64580322281911,13.60991,-0.2709746841734741,13.60991,-1.98082358647157e-05,13.60991,-3.381754499453537e-13,13.60991,2.657751426051692e-10,13.60991,186305.4169739015,13.60991,4.965482806158529e-10
14.20505,-15.64580322275545,14.20505,-0.27097468417265,14.20505,-2.067443204220897e-05,14.20505,-3.381754499410946e-13,14.20505,2.657751426009437e-10,14.20505,178499.7834412177,14.20505,4.965482806103717e-10
14.82623,-15.64580322269455,14.82623,-0.2709746841718608,14.82623,-2.15785061924176e-05,14.82623,-3.381754499370478e-13,14.82623,2.657751425969009e-10,14.82623,171021.1823472735,14.82623,4.965482806051282e-10
15.47457,-15.64580322263617,15.47457,-0.2709746841711045,15.47457,-2.252211468471234e-05,15.47457,-3.381754499330654e-13,15.47457,2.657751425930264e-10,15.47457,163855.9120219068,15.47457,4.965482806001027e-10
16.15126,-15.64580322258018,16.15126,-0.2709746841703799,16.15126,-2.350698631999311e-05,16.15126,-3.38175449929381e-13,16.15126,2.657751425893104e-10,16.15126,156990.8448535002,16.15126,4.965482805952824e-10
16.85754,-15.64580322252657,16.85754,-0.2709746841696856,16.85754,-2.453492549805325e-05,16.85754,-3.381754499257786e-13,16.85754,2.657751425857519e-10,16.85754,150413.4032376687,16.85754,4.965482805906664e-10
17.5947,-15.64580322247513,17.5947,-0.27097468416902,17.5947,-2.560781552345289e-05,17.5947,-3.381754499224478e-13,17.5947,2.657751425823375e-10,17.5947,144111.5365336055,17.5947,4.965482805862374e-10
18.3641,-15.645803222426,18.3641,-0.2709746841683831,18.3641,-2.672762205594892e-05,18.3641,-3.381754499190246e-13,18.3641,2.657751425790767e-10,18.3641,138073.6989859221,18.3641,4.965482805820082e-10
19.16715,-15.6458032223788,19.16715,-0.2709746841677722,19.16715,-2.789639671181902e-05,19.16715,-3.381754499158208e-13,19.16715,2.657751425759437e-10,19.16715,132288.828571447,19.16715,4.965482805779442e-10
20.00531,-15.64580322233359,20.00531,-0.270974684167187,20.00531,-2.911628082265594e-05,20.00531,-3.381754499127863e-13,20.00531,2.657751425729424e-10,20.00531,126746.3267323386,20.00531,4.965482805740509e-10
20.88012,-15.64580322229035,20.88012,-0.2709746841666267,20.88012,-3.038950935853949e-05,20.88012,-3.381754499099213e-13,20.88012,2.657751425700726e-10,20.88012,121436.0389582763,20.88012,4.965482805703287e-10
21.79319,-15.64580322224881,21.79319,-0.2709746841660893,21.79319,-3.17184150227655e-05,21.79319,-3.381754499072296e-13,21.79319,2.657751425673158e-10,21.79319,116348.236182202,21.79319,4.965482805667525e-10
22.74619,-15.64580322220915,22.74619,-0.270974684165575,22.74619,-3.310543252562381e-05,22.74619,-3.381754499044752e-13,22.74619,2.657751425646834e-10,22.74619,111473.5969555585,22.74619,4.965482805633382e-10
23.74086,-15.64580322217106,23.74086,-0.270974684165082,23.74086,-3.455310304507976e-05,23.74086,-3.381754499020148e-13,23.74086,2.657751425621552e-10,23.74086,106803.1903702796,23.74086,4.965482805600588e-10
24.77902,-15.64580322213467,24.77902,-0.2709746841646101,24.77902,-3.606407888250114e-05,24.77902,-3.38175449899611e-13,24.77902,2.657751425597397e-10,24.77902,102328.459696349,24.77902,4.96548280556926e-10
25.86259,-15.64580322209959,25.86259,-0.2709746841641568,25.86259,-3.764112832199202e-05,25.86259,-3.381754498971868e-13,25.86259,2.657751425574113e-10,25.86259,98041.20670484836,25.86259,4.965482805539053e-10
26.99353,-15.64580322206608,26.99353,-0.2709746841637229,26.99353,-3.9287140702202e-05,26.99353,-3.381754498949034e-13,26.99353,2.657751425551876e-10,26.99353,93933.57664787266,26.99353,4.965482805510207e-10
28.17394,-15.64580322203415,28.17394,-0.2709746841633085,28.17394,-4.100513170994014e-05,28.17394,-3.381754498928187e-13,28.17394,2.657751425530675e-10,28.17394,89998.04386769232,28.17394,4.965482805482712e-10
29.40596,-15.64580322200338,29.40596,-0.2709746841629103,29.40596,-4.279824890526647e-05,29.40596,-3.381754498907154e-13,29.40596,2.657751425510254e-10,29.40596,86227.39800887047,29.40596,4.965482805456225e-10
30.69185,-15.64580322197389,30.69185,-0.2709746841625288,30.69185,-4.466977748818119e-05,30.69185,-3.381754498887003e-13,30.69185,2.657751425490684e-10,30.69185,82614.73080806639,30.69185,4.96548280543084e-10
32.03398,-15.64580322194567,32.03398,-0.2709746841621634,32.03398,-4.662314631749976e-05,32.03398,-3.381754498869154e-13,32.03398,2.657751425471945e-10,32.03398,79153.42343727933,32.03398,4.965482805406531e-10
33.4348,-15.64580322191865,33.4348,-0.2709746841618134,33.4348,-4.86619341929226e-05,33.4348,-3.381754498850333e-13,33.4348,2.657751425454015e-10,33.4348,75837.13437738334,33.4348,4.965482805383272e-10
34.89687,-15.64580322189282,34.89687,-0.2709746841614784,34.89687,-5.078987641181232e-05,34.89687,-3.381754498833851e-13,34.89687,2.657751425436871e-10,34.89687,72659.78779972653,34.89687,4.965482805361039e-10
36.42288,-15.64580322186789,36.42288,-0.2709746841611563,36.42288,-5.30108716126988e-05,36.42288,-3.381754498816856e-13,36.42288,2.657751425420322e-10,36.42288,69615.56243449825,36.42288,4.965482805339568e-10
38.01562,-15.64580322184413,38.01562,-0.2709746841608487,38.01562,-5.532898891802931e-05,38.01562,-3.381754498801467e-13,38.01562,2.657751425404557e-10,38.01562,66698.88090549689,38.01562,4.965482805319121e-10
39.67801,-15.64580322182138,39.67801,-0.2709746841605537,39.67801,-5.774847538928897e-05,39.67801,-3.381754498786029e-13,39.67801,2.657751425389448e-10,39.67801,63904.39951170889,39.67801,4.965482805299522e-10
41.41309,-15.64580322179953,41.41309,-0.2709746841602709,41.41309,-6.027376380810543e-05,41.41309,-3.381754498771049e-13,41.41309,2.657751425374944e-10,41.41309,61226.99843703458,41.41309,4.965482805280708e-10
43.22405,-15.64580322177866,43.22405,-0.2709746841600005,43.22405,-6.290948079762207e-05,43.22405,-3.381754498756828e-13,43.22405,2.657751425361094e-10,43.22405,58661.77237018685,43.22405,4.965482805262746e-10
45.1142,-15.64580322175853,45.1142,-0.2709746841597405,45.1142,-6.566045529901823e-05,45.1142,-3.381754498743241e-13,45.1142,2.657751425347738e-10,45.1142,56204.02151758254,45.1142,4.965482805245416e-10
47.087,-15.64580322173936,47.087,-0.270974684159492,47.087,-6.853172741868094e-05,47.087,-3.381754498731476e-13,47.087,2.657751425335014e-10,47.087,53849.2429927823,47.087,4.965482805228914e-10
49.14607,-15.64580322172097,49.14607,-0.2709746841592539,49.14607,-7.152855766228196e-05,49.14607,-3.381754498719144e-13,49.14607,2.657751425322808e-10,49.14607,51593.1225666655,49.14607,4.96548280521308e-10
51.29518,-15.64580322170333,51.29518,-0.2709746841590255,51.29518,-7.465643657262954e-05,51.29518,-3.381754498706345e-13,51.29518,2.657751425311097e-10,51.29518,49431.52676326621,51.29518,4.965482805197887e-10
53.53827,-15.6458032216865,53.53827,-0.2709746841588074,53.53827,-7.792109478898393e-05,53.53827,-3.381754498695225e-13,53.53827,2.657751425299921e-10,53.53827,47360.49528676182,53.53827,4.965482805183395e-10
55.87946,-15.6458032216703,55.87946,-0.2709746841585978,55.87946,-8.132851354626368e-05,55.87946,-3.381754498684376e-13,55.87946,2.657751425289181e-10,55.87946,45376.23376574537,55.87946,4.965482805169464e-10
58.32301,-15.64580322165484,58.32301,-0.2709746841583972,58.32301,-8.488493563335757e-05,58.32301,-3.381754498674736e-13,58.32301,2.657751425278913e-10,58.32301,43475.10680149891,58.32301,4.965482805156147e-10
60.87343,-15.64580322164,60.87343,-0.270974684158205,60.87343,-8.859687683065025e-05,60.87343,-3.381754498664191e-13,60.87343,2.657751425269065e-10,60.87343,41653.63130751472,60.87343,4.965482805143372e-10
63.53537,-15.64580322162571,63.53537,-0.2709746841580206,63.53537,-9.247113784768845e-05,63.53537,-3.381754498655369e-13,63.53537,2.657751425259582e-10,63.53537,39908.47012807641,63.53537,4.965482805131067e-10
66.31371,-15.64580322161214,66.31371,-0.2709746841578443,66.31371,-9.651481678287052e-05,66.31371,-3.381754498645428e-13,66.31371,2.657751425250569e-10,66.31371,38236.42592420153,66.31371,4.96548280511938e-10
69.21355,-15.64580322159905,69.21355,-0.2709746841576749,69.21355,-0.0001007353221280043,69.21355,-3.381754498637189e-13,69.21355,2.657751425241879e-10,69.21355,36634.43531573812,69.21355,4.965482805108107e-10
72.24019,-15.64580322158654,72.24019,-0.2709746841575131,72.24019,-0.000105140386341513,72.24019,-3.381754498628725e-13,72.24019,2.657751425233582e-10,72.24019,35099.56326890092,72.24019,4.965482805097344e-10
75.39919,-15.64580322157452,75.39919,-0.2709746841573576,75.39919,-0.0001097380800152148,75.39919,-3.381754498619774e-13,75.39919,2.657751425225598e-10,75.39919,33628.99771894205,75.39919,4.965482805086986e-10
78.69633,-15.64580322156311,78.69633,-0.2709746841572093,78.69633,-0.000114536826660576,78.69633,-3.381754498613576e-13,78.69633,2.657751425218032e-10,78.69633,32220.04441812426,78.69633,4.965482805077177e-10
82.13764999999999,-15.64580322155205,82.13764999999999,-0.2709746841570665,82.13764999999999,-0.0001195454181415873,82.13764999999999,-3.381754498605256e-13,82.13764999999999,2.657751425210687e-10,82.13764999999999,30870.12199953901,82.13764999999999,4.965482805067649e-10
85.72945,-15.64580322154153,85.72945,-0.2709746841569301,85.72945,-0.0001247730307824579,85.72945,-3.381754498597518e-13,85.72945,2.6577514252037e-10,85.72945,29576.75724774813,85.72945,4.965482805058583e-10
89.47832,-15.64580322153142,89.47832,-0.2709746841567992,89.47832,-0.0001302292421797363,89.47832,-3.381754498591519e-13,89.47832,2.657751425196993e-10,89.47832,28337.58056755833,89.47832,4.965482805049884e-10
93.39113,-15.64580322152175,93.39113,-0.2709746841566739,93.39113,-0.000135924048749572,93.39113,-3.381754498586176e-13,93.39113,2.657751425190575e-10,93.39113,27150.32164264951,93.39113,4.96548280504156e-10
97.47504000000001,-15.64580322151251,97.47504000000001,-0.2709746841565541,97.47504000000001,-0.0001418678840423205,97.47504000000001,-3.381754498579505e-13,97.47504000000001,2.657751425184443e-10,97.47504000000001,26012.80527608917,97.47504000000001,4.965482805033607e-10
101.7375,-15.64580322150354,101.7375,-0.2709746841564385,101.7375,-0.0001480716378580311,101.7375,-3.38175449857289e-13,101.7375,2.65775142517849e-10,101.7375,24922.94740511711,101.7375,4.965482805025882e-10
106.1864,-15.64580322149519,106.1864,-0.2709746841563291,106.1864,-0.0001545466761978086,106.1864,-3.38175449856738e-13,106.1864,2.657751425172948e-10,106.1864,23878.75128290255,106.1864,4.9654828050187e-10
110.8299,-15.64580322148694,110.8299,-0.2709746841562231,110.8299,-0.0001613048620877001,110.8299,-3.38175449856156e-13,110.8299,2.657751425167475e-10,110.8299,22878.30382026402,110.8299,4.965482805011597e-10
115.6763,-15.64580322147908,115.6763,-0.2709746841561217,115.6763,-0.0001683585773130891,115.6763,-3.381754498556453e-13,115.6763,2.657751425162253e-10,115.6763,21919.77208067475,115.6763,4.965482805004821e-10
120.7348,-15.64580322147169,120.7348,-0.2709746841560252,120.7348,-0.0001757207451036002,120.7348,-3.381754498551361e-13,120.7348,2.65775142515735e-10,120.7348,21001.39992210445,120.7348,4.965482804998467e-10
126.0144,-15.64580322146448,126.0144,-0.2709746841559321,126.0144,-0.0001834048538099781,126.0144,-3.38175449854685e-13,126.0144,2.65775142515257e-10,126.0144,20121.50477956096,126.0144,4.965482804992265e-10
131.5249,-15.64580322145753,131.5249,-0.2709746841558427,131.5249,-0.0001914249816162911,131.5249,-3.381754498542469e-13,131.5249,2.657751425147947e-10,131.5249,19278.47458243822,131.5249,4.965482804986262e-10
137.2764,-15.64580322145094,137.2764,-0.2709746841557575,137.2764,-0.0001997958223328126,137.2764,-3.381754498537533e-13,137.2764,2.657751425143575e-10,137.2764,18470.76480101384,137.2764,4.965482804980593e-10
143.2793,-15.64580322144465,143.2793,-0.2709746841556758,143.2793,-0.0002085327123168189,143.2793,-3.381754498533374e-13,143.2793,2.657751425139402e-10,143.2793,17696.89561668834,143.2793,4.965482804975181e-10
149.5448,-15.64580322143872,149.5448,-0.2709746841555982,149.5448,-0.000217651658570557,149.5448,-3.381754498528163e-13,149.5448,2.657751425135466e-10,149.5448,16955.44921078732,149.5448,4.96548280497008e-10
156.0843,-15.6458032214329,156.0843,-0.2709746841555229,156.0843,-0.0002271693680679779,156.0843,-3.381754498525492e-13,156.0843,2.657751425131606e-10,156.0843,16245.06716694928,156.0843,4.965482804965074e-10
162.9097,-15.64580322142726,162.9097,-0.2709746841554507,162.9097,-0.0002371032783638227,162.9097,-3.381754498521476e-13,162.9097,2.657751425127857e-10,162.9097,15564.44798235142,162.9097,4.965482804960205e-10
170.0336,-15.64580322142197,170.0336,-0.270974684155382,170.0336,-0.0002474715895412674,170.0336,-3.38175449851818e-13,170.0336,2.657751425124342e-10,170.0336,14912.34468320353,170.0336,4.965482804955648e-10
177.469,-15.64580322141697,177.469,-0.2709746841553165,177.469,-0.0002582932975566184,177.469,-3.381754498515233e-13,177.469,2.657751425121033e-10,177.469,14287.56254014527,177.469,4.965482804951358e-10
185.2295,-15.645803221412,185.2295,-0.2709746841552527,185.2295,-0.0002695882290421324,185.2295,-3.381754498511673e-13,185.2295,2.657751425117736e-10,185.2295,13688.95687936233,185.2295,4.96548280494708e-10
193.3295,-15.64580322140737,193.3295,-0.2709746841551925,193.3295,-0.0002813770776306602,193.3295,-3.381754498508711e-13,193.3295,2.657751425114655e-10,193.3295,13115.43098541337,193.3295,4.965482804943081e-10
