kcgd X,kcgd Y,kgmp X,kgmp Y,ids X,ids Y,kgds X,kgds Y,rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y
7.475256,9.9398082277147e-11,7.475256,-12.63709852493818,7.475256,-3.135474815714426e-05,7.475256,-0.3778176157562784,7.475256,84414.00001533167,7.475256,-1.64383697046634e-13,7.475256,2.164503881292712e-10
7.802142,9.93980822748308e-11,7.802142,-12.63709852484088,7.802142,-3.272586283842608e-05,7.802142,-0.3778176157538492,7.802142,80877.30870542901,7.802142,-1.643836970425619e-13,7.802142,2.164503881254263e-10
8.143323000000001,9.939808227261057e-11,8.143323000000001,-12.63709852474761,8.143323000000001,-3.415693512035031e-05,8.143323000000001,-0.3778176157515213,8.143323000000001,77488.79406555128,8.143323000000001,-1.643836970385692e-13,8.143323000000001,2.164503881217407e-10
8.499423,9.939808227048049e-11,8.499423,-12.63709852465811,8.499423,-3.565058689437854e-05,8.499423,-0.3778176157492891,8.499423,74242.24794134339,8.499423,-1.643836970347752e-13,8.499423,2.164503881182044e-10
8.871095,9.939808226844505e-11,8.871095,-12.63709852457261,8.871095,-3.720955470490277e-05,8.871095,-0.3778176157471537,8.871095,71131.72228134933,8.871095,-1.643836970311417e-13,8.871095,2.164503881148257e-10
9.25902,9.939808226649011e-11,9.25902,-12.63709852449047,9.25902,-3.883669476292446e-05,9.25902,-0.377817615745105,9.25902,68151.51823946988,9.25902,-1.643836970277095e-13,9.25902,2.164503881115802e-10
9.663909,9.939808226462114e-11,9.663909,-12.63709852441196,9.663909,-4.053498817895272e-05,9.663909,-0.3778176157431445,9.663909,65296.17573403441,9.663909,-1.643836970243142e-13,9.663909,2.164503881084778e-10
10.0865,9.939808226282704e-11,10.0865,-12.63709852433658,10.0865,-4.230754642476033e-05,10.0865,-0.3778176157412639,10.0865,62560.46344427247,10.0865,-1.643836970211589e-13,10.0865,2.164503881054993e-10
10.52758,9.93980822611102e-11,10.52758,-12.63709852426446,10.52758,-4.415761703395108e-05,10.52758,-0.3778176157394634,10.52758,59939.36922594091,10.52758,-1.643836970181012e-13,10.52758,2.164503881026493e-10
10.98794,9.939808225946424e-11,10.98794,-12.6370985241953,10.98794,-4.608858955183009e-05,10.98794,-0.3778176157377378,10.98794,57428.09092847759,10.98794,-1.643836970151636e-13,10.98794,2.16450388099917e-10
11.46843,9.939808225788673e-11,11.46843,-12.63709852412903,11.46843,-4.810400174544061e-05,11.46843,-0.3778176157360842,11.46843,55022.02759690843,11.46843,-1.643836970123658e-13,11.46843,2.164503880972981e-10
11.96993,9.939808225637639e-11,11.96993,-12.63709852406558,11.96993,-5.020754608516772e-05,11.96993,-0.3778176157345007,11.96993,52716.77104235867,11.96993,-1.643836970097093e-13,11.96993,2.164503880947909e-10
12.49337,9.939808225493018e-11,12.49337,-12.63709852400483,12.49337,-5.240307650977528e-05,12.49337,-0.3778176157329838,12.49337,50508.09776573622,12.49337,-1.64383697007053e-13,12.49337,2.164503880923902e-10
13.03969,9.939808225354317e-11,13.03969,-12.63709852394656,13.03969,-5.469461548727368e-05,13.03969,-0.3778176157315297,13.03969,48391.9612197863,13.03969,-1.643836970046496e-13,13.03969,2.164503880900877e-10
13.60991,9.939808225221647e-11,13.60991,-12.63709852389082,13.60991,-5.708636138454508e-05,13.60991,-0.3778176157301377,13.60991,46364.48439534951,13.60991,-1.643836970022625e-13,13.60991,2.164503880878854e-10
14.20505,9.93980822509418e-11,14.20505,-12.63709852383727,14.20505,-5.958269615925073e-05,14.20505,-0.3778176157288021,14.20505,44421.95271822126,14.20505,-1.643836970000436e-13,14.20505,2.164503880857693e-10
14.82623,9.939808224972459e-11,14.82623,-12.63709852378614,14.82623,-6.218819338807539e-05,14.82623,-0.3778176157275248,14.82623,42560.80724362783,14.82623,-1.643836969978046e-13,14.82623,2.164503880837488e-10
15.47457,9.939808224855513e-11,15.47457,-12.637098523737,15.47457,-6.490762664607049e-05,15.47457,-0.3778176157262991,15.47457,40777.63813581297,15.47457,-1.643836969957697e-13,15.47457,2.164503880818074e-10
16.15126,9.93980822474366e-11,16.15126,-12.63709852369001,16.15126,-6.774597825238458e-05,16.15126,-0.3778176157251258,16.15126,39069.17842083076,16.15126,-1.643836969938156e-13,16.15126,2.164503880799507e-10
16.85754,9.939808224636305e-11,16.85754,-12.63709852364491,16.85754,-7.070844839846632e-05,16.85754,-0.3778176157240006,16.85754,37432.29800106072,16.85754,-1.643836969919285e-13,16.85754,2.164503880781684e-10
17.5947,9.939808224533408e-11,17.5947,-12.63709852360169,17.5947,-7.380046467541404e-05,17.5947,-0.3778176157229225,17.5947,35863.99792050794,17.5947,-1.643836969900873e-13,17.5947,2.164503880764601e-10
18.3641,9.939808224435055e-11,18.3641,-12.63709852356036,18.3641,-7.702769201795708e-05,18.3641,-0.3778176157218908,18.3641,34361.40487036488,18.3641,-1.643836969883065e-13,18.3641,2.164503880748276e-10
19.16715,9.939808224340802e-11,19.16715,-12.63709852352077,19.16715,-8.039604308328356e-05,19.16715,-0.3778176157209021,19.16715,32921.7659247717,19.16715,-1.643836969865713e-13,19.16715,2.16450388073263e-10
20.00531,9.939808224250232e-11,20.00531,-12.63709852348272,20.00531,-8.391168908371483e-05,20.00531,-0.3778176157199533,20.00531,31542.44349713661,20.00531,-1.64383696985015e-13,20.00531,2.164503880717592e-10
20.88012,9.939808224163813e-11,20.88012,-12.63709852344642,20.88012,-8.758107109307757e-05,20.88012,-0.3778176157190464,20.88012,30220.91050777209,20.88012,-1.643836969835208e-13,20.88012,2.164503880703248e-10
21.79319,9.939808224080839e-11,21.79319,-12.63709852341155,21.79319,-9.141091184752326e-05,21.79319,-0.3778176157181765,21.79319,28954.7457539833,21.79319,-1.643836969819877e-13,21.79319,2.164503880689474e-10
22.74619,9.939808224001452e-11,22.74619,-12.6370985233782,22.74619,-9.540822806234502e-05,22.74619,-0.3778176157173436,22.74619,27741.6294741487,22.74619,-1.643836969806485e-13,22.74619,2.164503880676296e-10
23.74086,9.939808223925276e-11,23.74086,-12.6370985233462,23.74086,-9.958034328743332e-05,23.74086,-0.3778176157165449,23.74086,26579.33909764158,23.74086,-1.643836969792377e-13,23.74086,2.164503880663651e-10
24.77902,9.939808223852162e-11,24.77902,-12.63709852331548,24.77902,-0.0001039349013248665,24.77902,-0.3778176157157789,24.77902,25465.74517282356,24.77902,-1.643836969779333e-13,24.77902,2.164503880651512e-10
25.86259,9.939808223782396e-11,25.86259,-12.63709852328617,25.86259,-0.0001084798802332461,25.86259,-0.3778176157150467,25.86259,24398.80746564078,25.86259,-1.643836969766577e-13,25.86259,2.164503880639932e-10
26.99353,9.939808223715463e-11,26.99353,-12.63709852325806,26.99353,-0.0001132236069444438,26.99353,-0.3778176157143448,26.99353,23376.5712216744,26.99353,-1.643836969754804e-13,26.99353,2.164503880628822e-10
28.17394,9.939808223651032e-11,28.17394,-12.63709852323099,28.17394,-0.000118174772519504,28.17394,-0.3778176157136706,28.17394,22397.16358480444,28.17394,-1.643836969743375e-13,28.17394,2.164503880618123e-10
29.40596,9.93980822358958e-11,29.40596,-12.63709852320517,29.40596,-0.0001233424480716724,29.40596,-0.3778176157130261,29.40596,21458.79016591996,29.40596,-1.643836969732491e-13,29.40596,2.164503880607922e-10
30.69185,9.939808223530794e-11,30.69185,-12.63709852318048,30.69185,-0.000128736101385755,30.69185,-0.3778176157124088,30.69185,20559.7317553854,30.69185,-1.643836969721835e-13,30.69185,2.164503880598165e-10
32.03398,9.939808223474472e-11,32.03398,-12.63709852315682,32.03398,-0.0001343656142641917,32.03398,-0.3778176157118178,32.03398,19698.34117325006,32.03398,-1.643836969712166e-13,32.03398,2.164503880588816e-10
33.4348,9.939808223420274e-11,33.4348,-12.63709852313405,33.4348,-0.0001402413006316793,33.4348,-0.3778176157112502,33.4348,18873.04025142116,33.4348,-1.643836969702504e-13,33.4348,2.164503880579817e-10
34.89687,9.939808223368527e-11,34.89687,-12.63709852311231,34.89687,-0.0001463739254314696,34.89687,-0.3778176157107073,34.89687,18082.3169422776,34.89687,-1.643836969693221e-13,34.89687,2.164503880571228e-10
36.42288,9.939808223318704e-11,36.42288,-12.63709852309138,36.42288,-0.0001527747243480265,36.42288,-0.3778176157101857,36.42288,17324.72254841929,36.42288,-1.643836969683934e-13,36.42288,2.164503880562955e-10
38.01562,9.939808223271146e-11,38.01562,-12.63709852307139,38.01562,-0.0001594554243920854,38.01562,-0.377817615709687,38.01562,16598.86906848722,38.01562,-1.643836969675915e-13,38.01562,2.164503880555061e-10
39.67801,9.939808223225707e-11,39.67801,-12.63709852305231,39.67801,-0.0001664282653859255,39.67801,-0.3778176157092101,39.67801,15903.42665418096,39.67801,-1.643836969667819e-13,39.67801,2.164503880547518e-10
41.41309,9.939808223182098e-11,41.41309,-12.63709852303398,41.41309,-0.0001737060223881476,41.41309,-0.3778176157087526,41.41309,15237.12117382196,41.41309,-1.6438369696597e-13,41.41309,2.164503880540279e-10
43.22405,9.939808223140321e-11,43.22405,-12.63709852301643,43.22405,-0.0001813020290990677,43.22405,-0.3778176157083143,43.22405,14598.73187799593,43.22405,-1.643836969653079e-13,43.22405,2.164503880533346e-10
45.1142,9.939808223100184e-11,45.1142,-12.63709852299957,45.1142,-0.0001892302022896182,45.1142,-0.3778176157078937,45.1142,13987.08916299702,45.1142,-1.643836969645435e-13,45.1142,2.164503880526681e-10
