kcgd_n X,kcgd_n Y
4.771761000000001e-07,-1.400498935540913e-09
4.838210000000001e-07,-1.38138394842698e-09
4.905584e-07,-1.362529616790125e-09
4.973896e-07,-1.343932413270325e-09
5.043159000000001e-07,-1.325588856734684e-09
5.113388e-07,-1.307495510120383e-09
5.184594e-07,-1.289648981025864e-09
5.256791e-07,-1.272045921667361e-09
5.329994000000001e-07,-1.254683027370455e-09
5.404216000000001e-07,-1.237557037054922e-09
5.479472e-07,-1.220664732471675e-09
5.555776e-07,-1.204002937707872e-09
5.633143000000001e-07,-1.187568518493912e-09
5.711586e-07,-1.171358382982368e-09
5.791123e-07,-1.155369479359984e-09
5.871766e-07,-1.139598797241892e-09
5.953533000000001e-07,-1.124043365966148e-09
6.036439e-07,-1.108700254731331e-09
6.120498e-07,-1.093566571937163e-09
6.205729000000001e-07,-1.078639464562571e-09
6.292146000000001e-07,-1.063916118417485e-09
6.379767e-07,-1.0474168204293e-09
6.468608000000001e-07,-1.033242901331128e-09
6.558686000000001e-07,-1.019254059895754e-09
6.650018000000001e-07,-1.005448282136875e-09
6.742622e-07,-9.918235547593459e-10
6.836516000000001e-07,-9.783778672933373e-10
6.931717e-07,-9.65109212237368e-10
7.028244e-07,-9.520155859688476e-10
7.126115000000001e-07,-9.390949901532321e-10
7.225349e-07,-9.263454324123096e-10
7.325965e-07,-9.137649272393923e-10
7.427982e-07,-9.013514963919073e-10
7.531420000000001e-07,-8.891031704869628e-10
7.636298000000001e-07,-8.770179888455629e-10
7.742637e-07,-8.650940006618819e-10
7.850456e-07,-8.533292658558246e-10
7.959777000000001e-07,-8.41721855132046e-10
8.070620000000001e-07,-8.302698510165512e-10
8.183007000000001e-07,-8.189713483015298e-10
8.296959000000001e-07,-8.078244545764227e-10
8.412497e-07,-7.968272906376523e-10
8.529645000000001e-07,-7.859779910687622e-10
8.648423000000001e-07,-7.752747045991645e-10
8.768856e-07,-7.64715594536668e-10
8.890966e-07,-7.542988391711785e-10
9.014776000000001e-07,-7.440226320692934e-10
9.140311000000001e-07,-7.338851824334331e-10
9.267593000000001e-07,-7.238847153564185e-10
9.396648000000001e-07,-7.140194720604136e-10
9.527500000000001e-07,-7.042877103411309e-10
9.660175000000001e-07,-6.946877043891947e-10
9.794697000000001e-07,-6.852177455585406e-10
9.931092e-07,-6.758761419458344e-10
1e-06,-6.712529493599861e-10
1.006939e-06,-6.666612192285225e-10
1.020961e-06,-6.575713192682246e-10
1.035178e-06,-6.486048022392661e-10
1.049593e-06,-6.397600463689524e-10
1.064209e-06,-6.310354467104508e-10
1.079029e-06,-6.224294150247407e-10
1.094055e-06,-6.139403830300371e-10
1.10929e-06,-6.055682968462612e-10
1.124737e-06,-5.973085037697818e-10
1.1404e-06,-5.891611158940629e-10
1.15628e-06,-5.811246345015979e-10
1.172382e-06,-5.731975773711176e-10
1.188708e-06,-5.653784801092035e-10
1.205261e-06,-5.57665896803207e-10
1.222045e-06,-5.500583978678288e-10
1.239062e-06,-5.425545721302915e-10
1.256317e-06,-5.351530251856523e-10
1.273811e-06,-5.27852379637379e-10
1.29155e-06,-5.206512760862195e-10
1.309535e-06,-5.135483719925137e-10
1.327771e-06,-5.065423410727567e-10
