kgds X,kgds Y,ids X,ids Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kcds X,kcds Y,rds X,rds Y,kcgd X,kcgd Y
5.782283,-0.4037399004538111,5.782283,-1.693381441824687e-05,5.782283,2.930837631423228e-10,5.782283,-14.41868227358072,5.782283,-2.143936903858543e-13,5.782283,146266.0497625649,5.782283,1.424565774594391e-10
6.035137,-0.4037399004503214,6.035137,-1.767431475486066e-05,6.035137,2.930837631349144e-10,6.035137,-14.41868227343635,6.035137,-2.143936903788563e-13,6.035137,140137.9446243924,6.035137,1.424565774545585e-10
6.299048,-0.4037399004469777,6.299048,-1.844719649914521e-05,6.299048,2.930837631278164e-10,6.299048,-14.41868227329802,6.299048,-2.14393690372055e-13,6.299048,134266.5885586478,6.299048,1.424565774498826e-10
6.5745,-0.4037399004437759,6.5745,-1.925387566066937e-05,6.5745,2.930837631210222e-10,6.5745,-14.41868227316562,6.5745,-2.143936903656208e-13,6.5745,128641.2245556587,6.5745,1.424565774454066e-10
6.861997,-0.4037399004407073,6.861997,-2.009583016981665e-05,6.861997,2.930837631145095e-10,6.861997,-14.41868227303869,6.861997,-2.143936903594509e-13,6.861997,123251.5462919203,6.861997,1.42456577441116e-10
7.162066,-0.403739900437767,7.162066,-2.097460258552383e-05,7.162066,2.930837631082685e-10,7.162066,-14.41868227291707,7.162066,-2.143936903535805e-13,7.162066,118087.6792477212,7.162066,1.424565774370046e-10
7.475256,-0.4037399004349499,7.475256,-2.18918029214302e-05,7.475256,2.930837631022892e-10,7.475256,-14.41868227280054,7.475256,-2.14393690347885e-13,7.475256,113140.1626158633,7.475256,1.424565774330654e-10
7.802142,-0.4037399004322503,7.802142,-2.284911159561056e-05,7.802142,2.930837630965583e-10,7.802142,-14.41868227268886,7.802142,-2.143936903424055e-13,7.802142,108399.9319683581,7.802142,1.424565774292901e-10
8.143323000000001,-0.4037399004296651,8.143323000000001,-2.384828250929618e-05,8.143323000000001,2.930837630910725e-10,8.143323000000001,-14.41868227258195,8.143323000000001,-2.143936903372848e-13,8.143323000000001,103858.3026493409,8.143323000000001,1.424565774256761e-10
8.499423,-0.4037399004271865,8.499423,-2.48911462602294e-05,8.499423,2.93083763085809e-10,8.499423,-14.41868227247939,8.499423,-2.143936903322522e-13,8.499423,99506.95386375685,8.499423,1.424565774222087e-10
8.871095,-0.4037399004248126,8.871095,-2.597961349652789e-05,8.871095,2.930837630807704e-10,8.871095,-14.41868227238118,8.871095,-2.143936903275435e-13,8.871095,95337.91343270979,8.871095,1.424565774188892e-10
9.25902,-0.4037399004225394,9.25902,-2.711567841721854e-05,9.25902,2.930837630759477e-10,9.25902,-14.4186822722872,9.25902,-2.143936903229679e-13,9.25902,91343.54318748588,9.25902,1.424565774157119e-10
9.663909,-0.4037399004203607,9.663909,-2.830142242584303e-05,9.663909,2.930837630713238e-10,9.663909,-14.41868227219708,9.663909,-2.143936903186324e-13,9.663909,87516.52497553809,9.663909,1.424565774126658e-10
10.0865,-0.4037399004182711,10.0865,-2.95390179438306e-05,10.0865,2.930837630668855e-10,10.0865,-14.41868227211059,10.0865,-2.143936903144459e-13,10.0865,83849.84725278142,10.0865,1.424565774097421e-10
10.52758,-0.4037399004162724,10.52758,-3.083073239062443e-05,10.52758,2.930837630626453e-10,10.52758,-14.41868227202796,10.52758,-2.143936903103461e-13,10.52758,80336.79223763199,10.52758,1.424565774069486e-10
10.98794,-0.4037399004143546,10.98794,-3.217893233786817e-05,10.98794,2.930837630585728e-10,10.98794,-14.41868227194859,10.98794,-2.143936903065003e-13,10.98794,76970.92360322482,10.98794,1.424565774042659e-10
11.46843,-0.4037399004125198,11.46843,-3.358608784522961e-05,11.46843,2.930837630546806e-10,11.46843,-14.41868227187273,11.46843,-2.143936903028078e-13,11.46843,73746.07468533868,11.46843,1.424565774017016e-10
11.96993,-0.4037399004107602,11.96993,-3.505477698584946e-05,11.96993,2.930837630509455e-10,11.96993,-14.41868227179995,11.96993,-2.143936902992321e-13,11.96993,70656.33718432349,11.96993,1.424565773992409e-10
12.49337,-0.4037399004090749,12.49337,-3.658769056966292e-05,12.49337,2.930837630473689e-10,12.49337,-14.41868227173025,12.49337,-2.143936902958432e-13,12.49337,67696.05034042466,12.49337,1.424565773968846e-10
13.03969,-0.4037399004074596,13.03969,-3.818763707328426e-05,13.03969,2.930837630439393e-10,13.03969,-14.41868227166341,13.03969,-2.143936902926496e-13,13.03969,64859.79056259725,13.03969,1.424565773946254e-10
13.60991,-0.403739900405913,13.60991,-3.985754778545888e-05,13.60991,2.930837630406578e-10,13.60991,-14.41868227159946,13.60991,-2.14393690289495e-13,13.60991,62142.36149186274,13.60991,1.424565773924635e-10
14.20505,-0.4037399004044286,14.20505,-4.16004821775326e-05,14.20505,2.930837630375046e-10,14.20505,-14.41868227153801,14.20505,-2.143936902866474e-13,14.20505,59538.7844809637,14.20505,1.424565773903864e-10
14.82623,-0.4037399004030106,14.82623,-4.341963350874955e-05,14.82623,2.930837630344977e-10,14.82623,-14.41868227147941,14.82623,-2.143936902837362e-13,14.82623,57044.28947291488,14.82623,1.424565773884052e-10
15.47457,-0.40373990040165,15.47457,-4.531833467669078e-05,15.47457,2.9308376303161e-10,15.47457,-14.41868227142314,15.47457,-2.143936902809718e-13,15.47457,54654.30626168355,15.47457,1.424565773865028e-10
16.15126,-0.4037399004003455,16.15126,-4.730006432351932e-05,16.15126,2.930837630288406e-10,16.15126,-14.41868227136916,16.15126,-2.143936902782695e-13,16.15126,52364.45611905347,16.15126,1.424565773846785e-10
16.85754,-0.4037399003990962,16.85754,-4.936845320926251e-05,16.85754,2.930837630261885e-10,16.85754,-14.41868227131747,16.85754,-2.143936902758427e-13,16.85754,50170.54377227871,16.85754,1.424565773829312e-10
17.5947,-0.4037399003978998,17.5947,-5.152729086378955e-05,17.5947,2.930837630236497e-10,17.5947,-14.418682271268,17.5947,-2.143936902733688e-13,17.5947,48068.54971785295,17.5947,1.424565773812587e-10
18.3641,-0.4037399003967514,18.3641,-5.378053252967369e-05,18.3641,2.930837630212097e-10,18.3641,-14.41868227122046,18.3641,-2.143936902711166e-13,18.3641,46054.62285730943,18.3641,1.424565773796515e-10
19.16715,-0.4037399003956534,19.16715,-5.613230640865025e-05,19.16715,2.930837630188806e-10,19.16715,-14.41868227117506,19.16715,-2.14393690268874e-13,19.16715,44125.07344156494,19.16715,1.424565773781169e-10
