kcgd X,kcgd Y,ids X,ids Y,kcds X,kcds Y,rds X,rds Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kgds X,kgds Y
7.162066,5.360734317702727e-11,7.162066,-5.567173042821904e-05,7.162066,-9.669673337946612e-14,7.162066,55422.11515596894,7.162066,1.26123748185104e-10,7.162066,-9.168244375148339,7.162066,-0.3241023522582832
7.475256,5.360734317702726e-11,7.475256,-5.810620467434663e-05,7.475256,-9.669673337945023e-14,7.475256,53100.0961432095,7.475256,1.26123748185104e-10,7.475256,-9.168244375148339,7.475256,-0.3241023522582832
7.802142,5.360734317702726e-11,7.802142,-6.064713626982317e-05,7.802142,-9.669673337945589e-14,7.802142,50875.36270463726,7.802142,1.26123748185104e-10,7.802142,-9.168244375148339,7.802142,-0.3241023522582832
8.143323000000001,5.360734317702725e-11,8.143323000000001,-6.329918049791915e-05,8.143323000000001,-9.669673337946184e-14,8.143323000000001,48743.83886891307,8.143323000000001,1.26123748185104e-10,8.143323000000001,-9.168244375148339,8.143323000000001,-0.3241023522582832
8.499423,5.360734317702725e-11,8.499423,-6.60671962132175e-05,8.499423,-9.669673337943761e-14,8.499423,46701.61943557001,8.499423,1.26123748185104e-10,8.499423,-9.168244375148339,8.499423,-0.3241023522582832
8.871095,5.360734317702726e-11,8.871095,-6.895625474360243e-05,8.871095,-9.669673337944854e-14,8.871095,44744.96282023024,8.871095,1.261237481851041e-10,8.871095,-9.168244375148339,8.871095,-0.3241023522582832
9.25902,5.360734317702726e-11,9.25902,-7.197164918152382e-05,9.25902,-9.669673337945238e-14,9.25902,42870.28419958583,9.25902,1.261237481851041e-10,9.25902,-9.16824437514834,9.25902,-0.3241023522582832
9.663909,5.360734317702726e-11,9.663909,-7.511890408156079e-05,9.663909,-9.669673337944089e-14,9.663909,41074.14894358384,9.663909,1.26123748185104e-10,9.663909,-9.168244375148339,9.663909,-0.3241023522582832
10.0865,5.360734317702726e-11,10.0865,-7.840378558205025e-05,10.0865,-9.669673337944701e-14,10.0865,39353.26632278324,10.0865,1.26123748185104e-10,10.0865,-9.168244375148339,10.0865,-0.3241023522582832
10.52758,5.360734317702726e-11,10.52758,-8.183231196932507e-05,10.52758,-9.669673337945914e-14,10.52758,37704.48347935468,10.52758,1.26123748185104e-10,10.52758,-9.168244375148339,10.52758,-0.3241023522582832
10.98794,5.360734317702726e-11,10.98794,-8.541076470391823e-05,10.98794,-9.669673337944063e-14,10.98794,36124.77965067641,10.98794,1.26123748185104e-10,10.98794,-9.16824437514834,10.98794,-0.3241023522582832
